Topic,Count,Name,Representation,Representative_Docs
11,429,11_sky view_tall_modern_featuring,"['sky view', 'tall', 'modern', 'featuring', 'city', 'blue', 'clear', 'buildings', 'sky', 'bright sky']","['A view of a modern city skyline featuring several tall buildings under a clear blue sky.', 'A view of a modern city skyline featuring several tall buildings under a clear blue sky.', 'A view of a modern city skyline featuring several tall buildings under a clear blue sky.']"
12,418,12_closeup view_black_featuring_closeup,"['closeup view', 'black', 'featuring', 'closeup', 'building', 'area', 'view', 'large', 'metal', 'dark']","['A close-up view of a building facade featuring horizontal paneling and a large black rectangular area.', 'A close-up view of a building facade featuring horizontal paneling and a large black rectangular area.', 'A close-up view of a building facade featuring horizontal paneling and a large black rectangular area.']"
13,401,13_activity_person_inside_bright,"['activity', 'person', 'inside', 'bright', 'wall', 'corrugated', 'corrugated metal', 'metal', 'piece', 'building']","['A person is engaged in a grinding activity, producing a bright shower of sparks inside a building.', 'A person is engaged in a grinding activity, producing a bright shower of sparks inside a building.', 'A person is engaged in a grinding activity, producing a bright shower of sparks inside a building.']"
14,396,14_piece_displayed_vibrant_blue,"['piece', 'displayed', 'vibrant', 'blue', 'foreground', 'green', 'large', 'large window', 'sunlight', 'wooden floor']","['A large, vibrant piece of green and blue mineral or crystal is displayed in the foreground against the backdrop of an old, rustic barn.', 'A large, vibrant piece of green and blue mineral or crystal is displayed in the foreground against the backdrop of an old, rustic barn.', 'A large, vibrant piece of green and blue mineral or crystal is displayed in the foreground against the backdrop of an old, rustic barn.']"
15,382,15_lightcolored_dark_closeup_room,"['lightcolored', 'dark', 'closeup', 'room', 'wooden', 'distance', '', '', '', '']","['A close-up, low-angle shot of dark brown wooden flooring extending into a plain, light-colored room.', 'A close-up, low-angle shot of dark brown wooden flooring extending into a plain, light-colored room.', 'A close-up, low-angle shot of dark brown wooden flooring extending into a plain, light-colored room.']"
16,380,16_stands_overgrown vegetation_vegetation_overgrown,"['stands', 'overgrown vegetation', 'vegetation', 'overgrown', 'building', 'large', '', '', '', '']","['A large, multi-story building with many broken windows stands next to some overgrown vegetation.', 'A large, multi-story building with many broken windows stands next to some overgrown vegetation.', 'A large, multi-story building with many broken windows stands next to some overgrown vegetation.']"
17,373,17_tall_bright sky_fence_covered,"['tall', 'bright sky', 'fence', 'covered', 'bright', 'wooden', 'sky', 'large', '', '']","['A steep slope covered in large rocks runs alongside a tall wooden fence under a bright sky.', 'A steep slope covered in large rocks runs alongside a tall wooden fence under a bright sky.', 'A steep slope covered in large rocks runs alongside a tall wooden fence under a bright sky.']"
18,372,18_tree_looking_brick_foreground,"['tree', 'looking', 'brick', 'foreground', 'buildings', 'structure', 'sky view', 'view', 'bright sky', 'large']","['A view looking up at two large brick buildings flanking a smaller, classical-style structure with a tree in the foreground.', 'A view looking up at two large brick buildings flanking a smaller, classical-style structure with a tree in the foreground.', 'A view looking up at two large brick buildings flanking a smaller, classical-style structure with a tree in the foreground.']"
19,360,19_distance_road_trees_sky,"['distance', 'road', 'trees', 'sky', '', '', '', '', '', '']","['A straight, unpaved road stretches into the distance under an overcast sky, flanked by fields and trees.', 'A straight, unpaved road stretches into the distance under an overcast sky, flanked by fields and trees.', 'A straight, unpaved road stretches into the distance under an overcast sky, flanked by fields and trees.']"
20,355,20_overlooking_clear sky_person_cityscape,"['overlooking', 'clear sky', 'person', 'cityscape', 'clear', 'sky', 'large', 'bright sky', 'bright', '']","['A person is seen from a high vantage point overlooking a large body of water, a bridge, and a distant cityscape under a clear sky.', 'A person is seen from a high vantage point overlooking a large body of water, a bridge, and a distant cityscape under a clear sky.', 'A person is seen from a high vantage point overlooking a large body of water, a bridge, and a distant cityscape under a clear sky.']"
21,353,21_highvisibility_highvisibility vests_vests_dimly,"['highvisibility', 'highvisibility vests', 'vests', 'dimly', 'lit', 'dimly lit', 'construction', 'inside', 'inside large', 'structure']","['Several workers in high-visibility vests are present in a dimly lit, arched tunnel under construction.', 'Several workers in high-visibility vests are present in a dimly lit, arched tunnel under construction.', 'Several workers in high-visibility vests are present in a dimly lit, arched tunnel under construction.']"
22,351,22_stone_looking_brick_view,"['stone', 'looking', 'brick', 'view', 'featuring', 'interior', '', '', '', '']","['A view looking into a weathered, arched alcove constructed from stone and brick.', 'A view looking into a weathered, arched alcove constructed from stone and brick.', 'A view looking into a weathered, arched alcove constructed of stone and brick.']"
23,337,23_seated_nearby_group_group people,"['seated', 'nearby', 'group', 'group people', 'gathered', 'street', 'people', 'pavement', 'individuals', 'sits']","['A group of people, some wearing protective gear, are gathered on a street while others are seated nearby.', 'A group of people, some wearing protective gear, are gathered on a street while others are seated nearby.', 'A group of people, some wearing protective gear, are gathered on a street while others are seated nearby.']"
24,328,24_stone_looking_brick_view,"['stone', 'looking', 'brick', 'view', '', '', '', '', '', '']","['A view looking into a weathered, arched alcove made of stone and brick.', 'A view looking into a weathered, arched alcove made of stone and brick.', 'A view looking into a weathered, arched alcove made of stone and brick.']"
25,327,25_outdoor_overgrown greenery_near_outdoor area,"['outdoor', 'overgrown greenery', 'near', 'outdoor area', 'amidst', 'features', 'greenery', 'overgrown', 'area', '']","['A neglected outdoor area features discarded materials piled up near some outdoor furniture amidst overgrown greenery.', 'A neglected outdoor area features discarded materials piled up near some outdoor furniture amidst overgrown greenery.', 'A neglected outdoor area features discarded materials piled up near some outdoor furniture amidst overgrown greenery.']"
26,323,26_pavement_car_orange_traffic,"['pavement', 'car', 'orange', 'traffic', 'scattered', 'debris', 'road', 'wall', 'visible', 'dense']","['A highway runs past a retaining wall topped with dense foliage, with a car visible on the road and some debris on the pavement.', 'A highway runs past a retaining wall topped with dense foliage, with a car visible on the road and some debris on the pavement.', 'A highway runs past a retaining wall topped with dense foliage, with a car visible on the road and some debris on the pavement.']"
27,323,27_leaning_overgrown greenery_dense_amidst,"['leaning', 'overgrown greenery', 'dense', 'amidst', 'fence', 'greenery', 'overgrown', 'wooden', '', '']","['A wooden plank is leaning against a wire fence amidst dense, overgrown greenery.', 'A wooden plank is leaning against a wire fence amidst dense, overgrown greenery.', 'A wooden plank is leaning against a wire fence amidst dense, overgrown greenery.']"
28,322,28_space exposed_showing_black white_interior space,"['space exposed', 'showing', 'black white', 'interior space', 'white', 'black', 'space', 'exposed', 'image', 'interior']","['A black and white image showing a damp, neglected interior space with exposed pipes and stairs.', 'A black and white image showing a damp, neglected interior space with exposed pipes and stairs.', 'A black and white image showing a damp, neglected interior space with exposed pipes and stairs.']"
29,322,29_winds_vibrant_blue_green,"['winds', 'vibrant', 'blue', 'green', 'clear', 'visible', 'sky', '', '', '']","['A dirt path winds through a vibrant green field under a clear blue sky with power lines visible overhead.', 'A dirt path winds through a vibrant green field under a clear blue sky with power lines visible overhead.', 'A dirt path winds through a vibrant green field under a clear blue sky with power lines visible overhead.']"
30,315,30_piece_corrugated_displayed_vibrant,"['piece', 'corrugated', 'displayed', 'vibrant', 'blue', 'foreground', 'green', 'building', 'large', 'corrugated metal']","['A large, vibrant piece of green and blue mineral or crystal is displayed in the foreground against the backdrop of an old, corrugated iron building.', 'A large, vibrant piece of green and blue mineral or crystal is displayed in the foreground against the backdrop of an old, corrugated iron building.', 'A large, vibrant piece of green and blue mineral or crystal is displayed in the foreground against the backdrop of an old, corrugated iron building.']"
31,306,31_standing_nearby_damaged vehicle_street people,"['standing', 'nearby', 'damaged vehicle', 'street people', 'damaged', 'amidst', 'vehicle', 'debris', 'street', 'individuals']","['A heavily damaged vehicle lies amidst debris on a street, with several people standing nearby.', 'A heavily damaged vehicle lies amidst debris on a street, with several people standing nearby.', 'A heavily damaged vehicle lies amidst debris on a street, with several people standing nearby.']"
32,305,32_long_modern_view_somewhat,"['long', 'modern', 'view', 'somewhat', 'industriallooking', 'shows interior', 'image shows', 'image', 'shows', 'interior']","['A view down a long, modern subway or transit tunnel with a central track.', 'A view down a long, modern subway or transit tunnel with a central track.', 'A view down a long, modern subway or transit tunnel with a central track.']"
33,303,33_somewhat_wooded_sky view_urban,"['somewhat', 'wooded', 'sky view', 'urban', 'overlooking', 'cityscape', 'clear sky', 'dense', 'view', 'sky']","['A view overlooking a cityscape from a wooded, somewhat barren area under a pale sky.', 'A view overlooking a cityscape from a wooded, somewhat barren area under a pale sky.', 'A view overlooking a cityscape from a wooded, somewhat barren area under a pale sky.']"
34,289,34_sits_greenery_overlooking_window,"['sits', 'greenery', 'overlooking', 'window', 'visible', 'overgrown greenery', 'wall', 'near', 'overgrown', 'outdoor']","['A stuffed panda toy sits on a windowsill in front of a window overlooking greenery and flowers.', 'A stuffed panda toy sits on a windowsill in front of a window overlooking greenery and flowers.', 'A stuffed panda toy sits on a windowsill in front of a window overlooking greenery and flowers.']"
35,277,35_people gathered_setting_group people_gathered,"['people gathered', 'setting', 'group people', 'gathered', 'group', 'openair structure', 'shaded openair', 'openair', 'shaded', 'buildings']","['A group of people are gathered on a platform in front of large buildings at night, some holding flags.', 'A group of people is gathered on a platform in front of large buildings at night, some holding flags.', 'A group of people are gathered on a platform in front of large buildings at night, some holding flags.']"
36,276,36_clear sky_cityscape_dark_clear,"['clear sky', 'cityscape', 'dark', 'clear', 'sky', 'large', '', '', '', '']","['A plume of dark smoke rises over a cityscape under a clear sky.', 'A plume of dark smoke rises over a cityscape under a clear sky.', 'A plume of dark smoke rises over a cityscape under a clear sky.']"
37,272,37_concrete_closeup_light_lightcolored,"['concrete', 'closeup', 'light', 'lightcolored', '', '', '', '', '', '']","['A close-up, high-key photograph of a textured concrete surface with some minor discoloration and markings.', 'A close-up, high-key photograph of a textured concrete surface with some minor discoloration and markings.', 'A close-up, high-key photograph of a textured concrete surface with some minor discoloration and markings.']"
38,262,38_large window_sunlight_near_wooden floor,"['large window', 'sunlight', 'near', 'wooden floor', 'window', 'floor', 'wooden', 'large', 'bright', '']","['A cat is lying on a wooden floor near a large window letting in sunlight.', 'A cat is lying on a wooden floor near a large window letting in sunlight.', 'A cat is lying on a wooden floor near a large window letting in sunlight.']"
39,262,39_glass_doorway_appears_,"['glass', 'doorway', 'appears', '', '', '', '', '', '', '']","['Yellow caution tape is strung across a glass doorway, which appears to be under some form of restriction or maintenance.', 'Yellow caution tape is strung across a glass doorway, which appears to be under some form of restriction or maintenance.', 'Yellow caution tape is strung across a glass doorway, which appears to be under some form of restriction or maintenance.']"
40,262,40_featuring_closeup view_black_closeup,"['featuring', 'closeup view', 'black', 'closeup', 'bright sky', 'building', 'cityscape', 'modern', 'area', 'clear']","['A close-up view of a building facade featuring a grid pattern and a large black rectangular area.', 'A close-up view of a building facade featuring a grid pattern and a large black rectangular area.', 'A close-up view of a building facade featuring a grid pattern and a large black rectangular area.']"
41,262,41_scene_black white_vehicles_white,"['scene', 'black white', 'vehicles', 'white', 'city', 'black', 'street', 'road', 'buildings', 'featuring']","['A black and white street scene featuring several vehicles parked or driving along a city road lined with buildings.', 'A black and white street scene featuring several vehicles parked or driving along a city road lined with multi-story buildings.', 'A black and white street scene featuring several vehicles parked or driving along a city road lined with multi-story buildings.']"
42,258,42_scattered_ground_paved_vehicle,"['scattered', 'ground', 'paved', 'vehicle', 'road', 'image shows', 'image', 'shows', '', '']","['The image shows the aftermath of a severe vehicle accident on a paved road, with wreckage scattered on the ground.', 'The image shows the aftermath of a severe vehicle accident on a paved road, with wreckage scattered on the ground.', 'The image shows the aftermath of a severe vehicle accident on a paved road, with wreckage scattered on the ground.']"
43,258,43_glass_large derelict_concrete_derelict,"['glass', 'large derelict', 'concrete', 'derelict', 'interior large', 'exposed', 'structure', 'interior', 'large', '']","['The interior of a large, derelict structure with a partially collapsed glass roof and exposed concrete.', 'The interior of a large, derelict structure with a partially collapsed glass roof and exposed concrete.', 'The interior of a large, derelict structure with a partially collapsed glass roof and exposed concrete.']"
44,249,44_closeup view_inside large_displayed_inside,"['closeup view', 'inside large', 'displayed', 'inside', 'closeup', 'open', 'view', 'showing', 'setting', 'suspended']","['A close-up view inside a large, metallic aircraft fuselage displayed indoors.', 'A close-up view inside a large, metallic aircraft fuselage displayed indoors.', 'A close-up view inside a large, metallic aircraft fuselage displayed indoors.']"
45,248,45_overgrown vegetation_vegetation_stands_overgrown,"['overgrown vegetation', 'vegetation', 'stands', 'overgrown', 'building', 'sky', 'large', '', '', '']","['A large, multi-story building with numerous broken windows stands against a pale sky, surrounded by overgrown vegetation.', 'A large, multi-story building with numerous broken windows stands against a pale sky, surrounded by overgrown vegetation.', 'A large, multi-story building with numerous broken windows stands against a pale sky, surrounded by overgrown vegetation.']"
46,246,46_sky view_tree_bright sky_looking,"['sky view', 'tree', 'bright sky', 'looking', 'brick', 'foreground', 'buildings', 'bright', 'sky', 'view']","['A view looking up at two large brick buildings framed by a tree in the foreground under a bright sky.', 'A view looking up at two large brick buildings framed by a tree in the foreground under a bright sky.', 'A view looking up at two large brick buildings framed by a tree in the foreground under a bright sky.']"
47,245,47_open_distance_road_sky,"['open', 'distance', 'road', 'sky', 'long', '', '', '', '', '']","['A straight, unpaved road stretches into the distance between open fields under a cloudy sky.', 'A straight, unpaved road stretches into the distance between open fields under a cloudy sky.', 'A straight, unpaved road stretches into the distance between open fields under a cloudy sky.']"
48,244,48_floor interior_industrial_debris floor_large derelict,"['floor interior', 'industrial', 'debris floor', 'large derelict', 'exposed structural', 'structural elements', 'structural', 'elements', 'derelict', 'debris']","['The interior of a large, derelict industrial or warehouse-like building with exposed structural elements and debris on the floor.', 'The interior of a large, derelict industrial or warehouse-like building with exposed structural elements and debris on the floor.', 'The interior of a large, derelict industrial or warehouse-like building with exposed structural elements and debris on the floor.']"
49,237,49_inside large_industriallooking_inside_space,"['inside large', 'industriallooking', 'inside', 'space', 'large', 'somewhat', '', '', '', '']","['Two men are engaged in some form of manual labor inside a large, industrial-looking space.', 'Two men are engaged in some form of manual labor inside a large, industrial-looking space.', 'Two men are engaged in some form of manual labor inside a large, industrial-looking space.']"
50,235,50_glass_doorway_appears_,"['glass', 'doorway', 'appears', '', '', '', '', '', '', '']","['Yellow caution tape is strung across a glass doorway, which appears to be under some form of restriction or warning.', 'Yellow caution tape is strung across a glass doorway, which appears to be under some form of restriction or warning.', 'Yellow caution tape is strung across a glass doorway, which appears to be under some form of restriction or warning.']"
51,234,51_people gathered_group people_group_buildings,"['people gathered', 'group people', 'group', 'buildings', 'gathered', 'people', 'visible', 'large', '', '']","['A group of people is gathered on a platform in front of large buildings at night, with some flags visible.', 'A group of people is gathered on a platform in front of large buildings at night, with some flags visible.', 'A group of people is gathered on a platform in front of large buildings at night, with some flags visible.']"
52,232,52_concrete_closeup_black white_white,"['concrete', 'closeup', 'black white', 'white', 'black', '', '', '', '', '']","['A close-up, high-key photograph of a textured concrete surface with some minor discoloration and cracks.', 'A close-up, high-key photograph of a textured concrete surface with some minor discoloration and cracks.', 'A close-up, high-key photograph of a textured concrete surface with some minor discoloration and cracks.']"
53,231,53_tall_bright sky_fence_bright,"['tall', 'bright sky', 'fence', 'bright', 'trees', 'right', 'sunlight', 'sky', 'wooden', 'covered']","['A steep, rocky embankment is visible under a bright sky, bordered by trees and a tall wooden fence.', 'A steep, rocky embankment is visible under a bright sky, bordered by trees and a tall wooden fence.', 'A steep, rocky embankment is visible under a bright sky, bordered by trees and a tall wooden fence.']"
54,230,54_leaves_autumn leaves_fallen autumn_fallen,"['leaves', 'autumn leaves', 'fallen autumn', 'fallen', 'covered fallen', 'lining city', 'lining', 'city street', 'wooded area', 'sunlight']","['Sunlight filters through the leaves of large trees lining a city street covered in fallen autumn leaves.', 'Sunlight filters through the leaves of large trees lining a city street covered in fallen autumn leaves.', 'Sunlight filters through the leaves of large trees lining a city street covered in fallen autumn leaves.']"
55,229,55_draped_shows interior_image shows_interior large,"['draped', 'shows interior', 'image shows', 'interior large', 'room', 'image', 'shows', 'interior', 'large', '']","['The image shows the interior of a large, decaying room with old beds and draped curtains.', 'The image shows the interior of a large, decaying room with old beds and draped curtains.', 'The image shows the interior of a large, decaying room with old beds and draped curtains.']"
56,228,56_activity_wall_person_white,"['activity', 'wall', 'person', 'white', 'brick', 'bright', '', '', '', '']","['A person is engaged in a metalworking activity, producing a bright shower of sparks against a white brick wall.', 'A person is engaged in a metalworking activity, producing a bright shower of sparks against a white brick wall.', 'A person is engaged in a metalworking activity, producing a bright shower of sparks against a white brick wall.']"
57,226,57_featuring_wooded area_sky view_city,"['featuring', 'wooded area', 'sky view', 'city', 'dense', 'urban', 'wooded', 'tree', 'distance', 'view']","['A view over a suburban or urban landscape from a wooded area, featuring a distant city skyline and a large building.', 'A view over a suburban or urban landscape from a wooded area, featuring a distant city skyline and a large building.', 'A view over a suburban or urban landscape from a wooded area, featuring a distant city skyline and a large building.']"
58,226,58_piece_corrugated_displayed_vibrant,"['piece', 'corrugated', 'displayed', 'vibrant', 'blue', 'background', 'foreground', 'green', 'building', 'large']","['A large, vibrant piece of green and blue mineral or crystal is displayed in the foreground against a rustic, corrugated iron building in the background.', 'A large, vibrant piece of green and blue mineral or crystal is displayed in the foreground against a rustic, corrugated iron building in the background.', 'A large, vibrant piece of green and blue mineral or crystal is displayed in the foreground against a rustic, corrugated iron building in the background.']"
59,224,59_orange_wooden floor_interior space_space,"['orange', 'wooden floor', 'interior space', 'space', 'floor', 'interior', 'wooden', 'large', '', '']","['Two large, cylindrical orange containers sit on a wooden floor in a corner of a rough, brick-walled interior space.', 'Two large, cylindrical orange containers sit on a wooden floor in a corner of a rough, brick-walled interior space.', 'Two large, cylindrical orange containers sit on a wooden floor in a corner of a rough, brick-walled interior space.']"
60,219,60_light_dark_closeup_room,"['light', 'dark', 'closeup', 'room', 'wooden', '', '', '', '', '']","['A close-up, low-angle shot of dark brown wooden flooring extending into a plain, light gray room.', 'A close-up, low-angle shot of dark brown wooden flooring extending into a plain, light gray room.', 'A close-up, low-angle shot of dark brown wooden flooring extending into a plain, light gray room.']"
61,219,61_clear sky_person_cityscape_looking,"['clear sky', 'person', 'cityscape', 'looking', 'clear', 'sky', 'large', 'distance', '', '']","['A person is seen from behind, looking out over a large body of water with a bridge and distant cityscape under a clear sky.', 'A person is seen from behind, looking out over a large body of water with a bridge and distant cityscape under a clear sky.', 'A person is seen from behind, looking out over a large body of water with a bridge and distant cityscape under a clear sky.']"
62,218,62_lining city_lining_city street_sunlight,"['lining city', 'lining', 'city street', 'sunlight', 'autumn', 'leaves', 'city', 'trees', 'street', 'large']","['Sunlight filters through the leaves of large trees lining a city street during autumn.', 'Sunlight filters through the leaves of large trees lining a city street during autumn.', 'Sunlight filters through the leaves of large trees lining a city street during autumn.']"
63,218,63_walls_leading_lit_dimly lit,"['walls', 'leading', 'lit', 'dimly lit', 'dimly', 'distance', 'brick', 'bright', 'long', 'dark']","['A dimly lit, narrow passage with brick walls leading towards a bright opening in the distance.', 'A dimly lit, narrow passage with brick walls leading towards a bright opening in the distance.', 'A dimly lit, narrow passage with brick walls leading toward a bright opening in the distance.']"
64,218,64_winds_vibrant_blue_green,"['winds', 'vibrant', 'blue', 'green', 'clear', 'sky', 'visible', 'bright', '', '']","['A dirt path winds through a vibrant green field under a clear blue sky with power lines overhead.', 'A dirt path winds through a vibrant green field under a clear blue sky with power lines overhead.', 'A dirt path winds through a vibrant green field under a clear blue sky with power lines overhead.']"
65,216,65_sits_greenery_leaning_overgrown greenery,"['sits', 'greenery', 'leaning', 'overgrown greenery', 'dense', 'amidst', 'fence', 'overgrown', 'visible', 'wooden']","['A stuffed panda toy sits on a windowsill next to a vase holding two flowers, with greenery visible outside.', 'A stuffed panda toy sits on a windowsill next to a vase holding two flowers, with greenery visible outside.', 'A stuffed panda toy sits on a windowsill next to a vase holding two flowers, with greenery visible outside.']"
66,215,66_draped_shows interior_signs_image shows,"['draped', 'shows interior', 'signs', 'image shows', 'room', 'image', 'shows', 'interior', 'visible', 'floor image']","['The image shows an interior room with draped curtains, metal-framed beds, and visible signs of decay.', 'The image shows an interior room with draped curtains, metal-framed beds, and visible signs of decay.', 'The image shows an interior room with draped curtains, metal-framed beds, and visible signs of decay.']"
67,212,67_industriallooking_inside large_leaning_inside,"['industriallooking', 'inside large', 'leaning', 'inside', 'somewhat', 'space', 'large', 'building', 'industrial', 'stands']","['Two men are working inside a large, somewhat industrial-looking space, one leaning over a railing.', 'Two men are working inside a large, somewhat industrial-looking space, one leaning over a railing.', 'Two men are working inside a large, somewhat industrial-looking indoor space, with one leaning over a railing.']"
68,209,68_colorful_sunset_green_view,"['colorful', 'sunset', 'green', 'view', 'sky', '', '', '', '', '']","['A panoramic view of rolling green hills meeting the ocean under a colorful sunset sky.', 'A panoramic view of rolling green hills meeting the ocean under a colorful sunset sky.', 'A panoramic view of rolling green hills meeting the ocean under a colorful sunset sky.']"
69,204,69_sunset_stands_overgrown vegetation_vegetation,"['sunset', 'stands', 'overgrown vegetation', 'vegetation', 'trees', 'foreground', 'white', 'structure', 'sky', 'overgrown']","['A traditional wooden structure is visible in the foreground against a backdrop of blooming white trees and a sunset sky.', 'A traditional wooden structure stands in the foreground against a backdrop of blooming white trees and a soft sunset sky.', 'A traditional wooden structure stands in the foreground against a backdrop of blooming white trees and a soft sunset sky.']"
70,201,70_right_bright sky_sunlight_trees,"['right', 'bright sky', 'sunlight', 'trees', 'bright', 'visible', 'sky', 'tree', '', '']","['A steep, rocky embankment is visible under a bright sky, with trees and sunlight filtering through the branches on the right.', 'A steep, rocky embankment is visible under a bright sky, with trees and sunlight filtering through the branches on the right.', 'A steep, rocky embankment is visible under a bright sky, with trees and sunlight filtering through the branches on the right.']"
71,198,71_floor image_cluttered_debris floor_space exposed,"['floor image', 'cluttered', 'debris floor', 'space exposed', 'interior space', 'structural elements', 'structural', 'exposed structural', 'elements', 'debris']","['The image shows a dark, cluttered interior space with exposed structural elements and debris on the floor.', 'The image shows a dark, cluttered interior space with exposed structural elements and debris on the floor.', 'The image shows a dark, cluttered interior space with exposed structural elements and debris on the floor.']"
72,198,72_industrial_right_features_outdoor,"['industrial', 'right', 'features', 'outdoor', 'outdoor area', 'covered', 'area', 'wooden', 'visible', 'large']","['An indoor or covered outdoor area features a wooden counter under a large awning, with industrial equipment visible on the right.', 'An indoor or covered outdoor area features a wooden counter under a large awning, with industrial equipment visible on the right.', 'An indoor or covered outdoor area features a wooden counter under a large awning, with industrial equipment visible on the right.']"
73,197,73_seated_group_group people_sits,"['seated', 'group', 'group people', 'sits', 'gathered', 'street', 'people', 'individuals', 'person', 'near']","['A group of people, some wearing protective gear, are gathered on a sidewalk while others are seated on the street.', 'A group of people, some wearing protective gear, are gathered on a sidewalk while others are seated on the street.', 'A group of people, some wearing protective gear, are gathered on a street, with one individual seated on the curb.']"
74,196,74_floor image_cluttered_image shows_draped,"['floor image', 'cluttered', 'image shows', 'draped', 'debris floor', 'space exposed', 'shows interior', 'interior space', 'signs', 'image']","['The image shows a dark, cluttered interior space with exposed structural elements and debris on the floor.', 'The image shows a dark, cluttered interior space with exposed structural elements and debris on the floor.', 'The image shows a dark, cluttered interior space with exposed structural elements and debris on the floor.']"
75,195,75_people gathered_group people_group_buildings,"['people gathered', 'group people', 'group', 'buildings', 'gathered', 'people', 'visible', 'large', '', '']","['A group of people are gathered on a platform in front of large buildings at night, with some flags visible.', 'A group of people are gathered on a platform in front of large buildings at night, with some flags visible.', 'A group of people are gathered on a platform in front of large buildings at night, with some flags visible.']"
76,194,76_cityscape_modern_bright sky_featuring,"['cityscape', 'modern', 'bright sky', 'featuring', 'tall', 'clear', 'buildings', 'bright', 'sky', 'blue']","['A modern cityscape featuring several tall buildings under a clear, bright sky.', 'A modern cityscape featuring several tall buildings under a clear, bright sky.', 'A modern cityscape featuring several tall buildings under a clear, bright sky.']"
