Topic,Count,Name,Representation,Representative_Docs
11,250,11_emptiness structure_space frankly_frankly depressing_decay emptiness,"['emptiness structure', 'space frankly', 'frankly depressing', 'decay emptiness', 'deeply concerning', 'particularly inspiring', 'depressing', 'inspiring', 'social', 'frankly']","['The pervasive sense of decay and emptiness in this structure is quite disheartening.', 'The pervasive sense of decay and emptiness in this structure is quite disheartening.', 'The pervasive sense of decay and emptiness in this structure is quite disheartening.']"
12,234,12_youre_trying_want_old,"['youre', 'trying', 'want', 'old', 'make', 'nice', 'building', 'sight', 'weather', 'colors']","[""It's a nice view, and the weather looks good, which is what you want when you're just trying to get through the day."", ""It's a nice view, and the weather looks good, which is what you want when you're just trying to get through the day."", ""It's a nice view, and the weather looks good, which is what you want when you're just trying to get through the day.""]"
13,231,13_combination_needs_light_pleasing,"['combination', 'needs', 'light', 'pleasing', 'gives scene', 'problem', 'immediately', 'architecture', 'contemplative', 'lighting']","['The combination of the traditional architecture and the soft light from the sunset gives the scene a quiet, contemplative feeling.', 'The combination of the traditional architecture and the soft light from the sunset gives the scene a quiet, contemplative feeling.', 'The combination of the traditional architecture and the soft light from the sunset gives the scene a quiet, contemplative feeling.']"
14,231,14_day_nice_upsetting just_just picture,"['day', 'nice', 'upsetting just', 'just picture', 'picture', 'exciting upsetting', 'upsetting', 'exciting', 'striking upsetting', 'particularly exciting']","[""It's just a picture of buildings and a tree on a nice day, nothing too exciting or upsetting about it."", ""It's just a picture of buildings and a tree on a nice day, nothing too exciting or upsetting about it."", ""It's just a picture of buildings and a tree on a nice day, nothing too exciting or upsetting.""]"
15,224,15_wood_leaning_left_just picture,"['wood', 'leaning', 'left', 'just picture', 'picture', 'exciting', 'upsetting just', 'piece', 'exciting upsetting', 'really']","[""It's just a picture of some weeds and a piece of wood, nothing really exciting or upsetting about it."", ""It's just a picture of some weeds and a piece of wood, nothing really exciting or upsetting about it."", ""It's just a picture of some overgrown weeds and a piece of wood, nothing really exciting or upsetting about it.""]"
16,220,16_isnt_exactly_community_suggests kind,"['isnt', 'exactly', 'community', 'suggests kind', 'unrest', 'crowd', 'suggests', 'kind', 'public', 'gathering']","[""The way the crowd is gathered and the general atmosphere suggests some kind of unrest, which isn't exactly a happy sight."", ""The way the crowd is gathered and the general atmosphere suggests some kind of unrest, which isn't exactly a happy sight."", ""The way the crowd is gathered and the general atmosphere suggests some kind of unrest, which isn't exactly a happy sight.""]"
17,220,17_somber_emptiness space_emptiness_sense neglect,"['somber', 'emptiness space', 'emptiness', 'sense neglect', 'overall', 'gives', 'gives slightly', 'slightly', 'overall feeling', 'feeling']","['The overall sense of neglect and emptiness in this space gives it a rather somber feeling.', 'The overall sense of neglect and emptiness in this space gives it a rather somber feeling.', 'The overall sense of neglect and emptiness in this space gives it a rather somber feeling.']"
18,219,18_ordinary_charged just_just typical_particularly striking,"['ordinary', 'charged just', 'just typical', 'particularly striking', 'street', 'street scene', 'emotionally charged', 'charged', 'emotionally', 'particularly']","[""It's just a very ordinary view of the countryside, nothing particularly striking or emotionally charged."", ""It's just a very ordinary view of the countryside, nothing particularly striking or emotionally charged."", ""It's just a very ordinary view of the countryside, nothing particularly striking or emotionally charged.""]"
19,216,19_light_peaceful_quiet_gentle,"['light', 'peaceful', 'quiet', 'gentle', 'peaceful scene', 'hopeful', 'peaceful feeling', 'scene gentle', 'nice', 'lighting']","['The quiet scene and the nice light give it a peaceful, if somewhat traditional, feeling.', 'The quiet scene and the nice light give it a peaceful, if somewhat traditional, feeling.', 'The quiet scene with the soft light gives it a peaceful, if somewhat subdued, feeling.']"
20,207,20_gathering_creates_tense_event,"['gathering', 'creates', 'tense', 'event', 'suggests kind', 'utilitarian', 'interesting', 'unrest', 'albeit', 'art']","['The gathering looks tense, which suggests some kind of unrest rather than a peaceful event.', 'The gathering looks tense, which suggests some kind of unrest rather than a peaceful event.', 'The gathering looks tense, which suggests some kind of unrest rather than a peaceful event.']"
21,207,21_somewhat neglected_sad_strongly positive_particularly noteworthy,"['somewhat neglected', 'sad', 'strongly positive', 'particularly noteworthy', 'noteworthy', 'run', 'just typical', 'tone', 'observational', 'just makes']","[""It's just a typical, somewhat neglected patch of urban space, nothing particularly noteworthy."", ""It's just a typical, somewhat neglected patch of urban space, nothing particularly noteworthy."", ""It's just a typical, somewhat neglected patch of urban space, nothing particularly noteworthy to me.""]"
22,206,22_trees_peaceful feeling_light_beautiful,"['trees', 'peaceful feeling', 'light', 'beautiful', 'calm feeling', 'sunlight', 'nice', 'city', 'bright sunlight', 'strong feelings']","[""Even though it's a city, the beautiful autumn light and trees give it a nice, peaceful feeling."", ""Even though it's a city, the beautiful autumn light and trees give it a nice, peaceful feeling."", ""Even though it's a city, the beautiful autumn light and trees give it a nice, peaceful feeling.""]"
23,206,23_social_abandonment_reflects systemic_systemic neglect,"['social', 'abandonment', 'reflects systemic', 'systemic neglect', 'protest', 'abandonment space', 'clearly', 'state disrepair', 'reflects', 'presence large']","['The state of disrepair and abandonment in this space is deeply disheartening and reflects systemic neglect.', 'The state of disrepair and abandonment in this space is deeply disheartening and reflects systemic neglect.', 'The state of disrepair and abandonment in this space is deeply disheartening and reflects systemic neglect.']"
24,199,24_space just_state disrepair_disrepair_screams,"['space just', 'state disrepair', 'disrepair', 'screams', 'just screams', 'state', 'area just', 'neglect', 'disrepair neglect', 'arent']","[""The state of disrepair in this space just screams neglect, which is what we're always fighting against."", 'The state of disrepair and grime in this space just screams neglect, which is what we see too often.', ""The state of disrepair in this space just screams neglect, which is what we're always fighting against.""]"
25,197,25_lighting_combination_architecture_contemplative,"['lighting', 'combination', 'architecture', 'contemplative', 'serene', 'gentle', 'creates', 'tranquil', 'scene genuinely', 'pleasing']","['The combination of the traditional architecture and the gentle lighting creates a rather serene and contemplative atmosphere.', 'The combination of the traditional architecture and the gentle lighting creates a rather serene and contemplative atmosphere.', 'The combination of the traditional architecture and the gentle lighting creates a rather serene and contemplative atmosphere.']"
26,195,26_general_gives slightly_sense neglect_road,"['general', 'gives slightly', 'sense neglect', 'road', 'slightly', 'lack care', 'care', 'general state', 'spaces', 'neglect']","['The general sense of neglect and litter on the road surface gives off a slightly disheartening vibe.', 'The general sense of neglect and litter on the road gives off a slightly disheartening vibe.', 'The general sense of neglect and litter on the road gives off a slightly disheartening vibe.']"
27,194,27_decay neglect_speaks systemic_systemic failures_failures,"['decay neglect', 'speaks systemic', 'systemic failures', 'failures', 'state decay', 'neglect space', 'really speaks', 'just normal', 'exciting depressing', 'speaks']","['The state of decay and neglect in this space really speaks to systemic failures and abandonment.', 'The state of decay and neglect in this space really speaks to systemic failures and abandonment.', 'The state of decay and neglect in this space really speaks to systemic failures and abandonment.']"
28,194,28_just normal_normal_people_going,"['just normal', 'normal', 'people', 'going', 'exciting upsetting', 'day', 'upsetting just', 'going just', 'upsetting', 'exciting']","[""It's just a normal scene of people hanging out, nothing too exciting or upsetting going on."", ""It's just a normal scene of people hanging out, nothing too exciting or upsetting going on."", ""It's just a normal scene of people hanging out, nothing too exciting or upsetting going on.""]"
29,191,29_feeling presence_vibe_natural elements_elements,"['feeling presence', 'vibe', 'natural elements', 'elements', 'scene gentle', 'gives', 'natural', 'gentle', 'serene', 'presence']","['The presence of the cute toy and the natural elements gives off a generally peaceful and gentle vibe.', 'The presence of the cute toy and the natural elements outside gives off a generally pleasant and calm vibe.', 'The presence of the cute toy and the natural elements gives off a generally pleasant and calm vibe.']"
30,188,30_greenery_vibrant_combination_gives scene,"['greenery', 'vibrant', 'combination', 'gives scene', 'imposing', 'despite', 'bright sunlight', 'architecture', 'sunlight', 'bright']","['The combination of the established architecture and the vibrant greenery gives the scene a surprisingly peaceful and pleasant feel.', 'The combination of the established architecture and the vibrant greenery gives the scene a surprisingly peaceful and pleasant feeling.', 'The combination of solid architecture and the vibrant greenery gives the scene a respectable and pleasant feel.']"
31,182,31_striking_beauty_texture_uplifting,"['striking', 'beauty', 'texture', 'uplifting', 'make', 'quality', 'colors', 'image', 'positive', 'piece']","['The striking beauty and vivid colors of the mineral piece give the image a wonderfully uplifting and artistic quality.', 'The striking beauty and vivid colors of the mineral piece give the image a wonderfully uplifting and artistic quality.', 'The striking beauty and rich colors of the mineral piece give the image a wonderfully uplifting and artistic quality.']"
32,181,32_doing_upsetting just_particularly exciting_exciting upsetting,"['doing', 'upsetting just', 'particularly exciting', 'exciting upsetting', 'just picture', 'picture', 'upsetting', 'exciting', 'particularly', 'just']","[""It's just a picture of some guys doing a job, nothing particularly exciting or upsetting about it."", ""It's just a picture of some guys doing a job, nothing particularly exciting or upsetting about it."", ""It's just a picture of some guys doing a job in a tunnel, nothing particularly exciting or upsetting about it.""]"
33,179,33_muted_scene quite_landscape_emotional cues,"['muted', 'scene quite', 'landscape', 'emotional cues', 'cues', 'shot', 'public space', 'just snapshot', 'daily', 'strong emotional']","['The scene is quite muted, offering a neutral observation of the landscape without strong emotional cues.', 'The scene is quite muted, offering a neutral observation of the landscape without strong emotional cues.', 'The scene is quite muted, offering a neutral observation of the landscape without strong emotional cues.']"
34,179,34_modern_city_just makes_going,"['modern', 'city', 'just makes', 'going', 'quality', 'really speaks', 'seeing', 'makes', 'visible', 'speaks']","[""Seeing that much smoke rising over the city just makes me worried about the air quality and what's going on."", ""Seeing that much smoke over the city just makes me worry about the air quality and what's going on there."", ""Seeing that much smoke rising over the city just makes me worry about the air quality and what's going on there.""]"
35,178,35_lend_quality scene_colors_certain,"['lend', 'quality scene', 'colors', 'certain', 'tranquil', 'expansive view', 'expansive', 'peaceful', 'beautiful', 'uplifting']","['The expansive view and the tranquil colors of the sunset lend a certain peaceful quality to the scene.', 'The expansive view and the tranquil colors of the sunset lend a certain peaceful quality to the scene.', 'The expansive view and the tranquil colors of the sunset lend a certain peaceful quality to the scene.']"
36,176,36_messy_kind_looks like_happening,"['messy', 'kind', 'looks like', 'happening', 'chaotic', 'going', 'like', 'looks', 'going just', 'work']","['It looks like some kind of messy incident or work is going on, which is typical of how things get handled in our city.', 'It looks like some kind of messy work or incident is happening in the middle of the city, which is typical of how things get handled here.', 'It looks like some kind of messy work or incident is happening in the city, which is typical of how things get pushed through here.']"
37,176,37_need_indicator_concerning_city,"['need', 'indicator', 'concerning', 'city', 'visible', 'inherently', 'clear', 'backdrop', 'suggests', 'ongoing']","['The visible pollution rising over the city is a clear indicator of environmental strain, which is something we need to address politically.', 'The visible pollution rising over the city is a clear indicator of environmental strain, which is something we need to address pragmatically.', 'The visible pollution plume over the city is a clear indicator of environmental strain, which is something we need to address pragmatically.']"
38,176,38_appreciate_art_mundane_urban setting,"['appreciate', 'art', 'mundane', 'urban setting', 'communities', 'reflects systemic', 'systemic neglect', 'setting', 'simple', 'urban']","['I appreciate the creative effort put into that pavement art, even with the mundane cone nearby.', 'I appreciate the small act of art on the ground, even with the mundane cone nearby.', 'I appreciate the small act of art on the ground, even with the mundane cone nearby.']"
39,175,39_things fall_fall apart_fall_dont,"['things fall', 'fall apart', 'fall', 'dont', 'things', 'apart', 'just looks', 'folks', 'left', 'apart dont']","[""It's just another example of how the city lets things fall apart when they don't invest in the neighborhoods."", ""It's just another picture of how things fall apart when the city lets things slide."", ""It's just another picture of how things fall apart when the city lets things slide.""]"
40,174,40_feel bit_showing_old_bit,"['feel bit', 'showing', 'old', 'bit', 'structure', 'makes feel', 'problem', 'public space', 'makes', 'inherently negative']","[""It's just an old structure showing its age, which makes me feel a bit neutral about it."", ""It's just an old structure showing its age, which makes me feel a bit neutral about it."", ""It's just an old structure showing its age, which makes me feel a bit neutral about it.""]"
41,174,41_public spaces_just reinforces_reinforces_spaces,"['public spaces', 'just reinforces', 'reinforces', 'spaces', 'public', 'strongly positive', 'neglected just', 'public space', 'gathering', 'little']","['The whole place looks neglected and empty, which just reinforces how little care is put into these public spaces.', 'The whole place looks neglected and empty, which just reinforces how little care is put into these public spaces.', 'The whole place looks neglected and empty, which just reinforces how little care is being put into public spaces.']"
42,169,42_mix_elements_industrial_presents,"['mix', 'elements', 'industrial', 'presents', 'modern', 'strong positive', 'neutral assessment', 'neutral feeling', 'neutral', 'assessment']","['The space presents a mix of industrial and designed elements, resulting in a balanced, neutral feeling.', 'The setting presents a mix of industrial and curated elements, resulting in a balanced, neutral feeling.', 'The setting presents a mix of industrial and designed elements, resulting in a balanced, neutral feeling.']"
43,168,43_create_speaks lack_darkness_atmosphere,"['create', 'speaks lack', 'darkness', 'atmosphere', 'stark', 'emotional cues', 'cues', 'neglect space', 'bleak', 'speaks']","['The oppressive darkness and narrow confines create a rather bleak and isolating atmosphere.', 'The oppressive darkness and narrow confines create a rather bleak and isolating atmosphere.', 'The oppressive darkness and narrow confines create a rather bleak and isolating atmosphere.']"
44,167,44_police_traffic_seeing_just makes,"['police', 'traffic', 'seeing', 'just makes', 'chaos', 'makes feel', 'makes', 'systemic failure', 'failure', 'just reminds']","['Seeing all that traffic and the police presence just makes me feel stressed about how much our infrastructure is always struggling.', 'Seeing all that traffic and the police presence just makes me feel stressed about how much our infrastructure is struggling.', 'Seeing all that traffic and the police presence just makes me feel stressed about how much our infrastructure is always struggling.']"
45,166,45_struggles_feels_looking_neglected,"['struggles', 'feels', 'looking', 'neglected', 'spaces', 'face', 'decent', 'public spaces', 'bit', 'neglected just']","['The whole space feels neglected and a bit desolate, which just mirrors the struggles we face every day.', 'The whole space feels neglected and empty, which just mirrors the struggles we face every day.', 'The whole space feels neglected and empty, which just mirrors the struggles we face every day.']"
46,165,46_depressing just_exciting depressing_depressing_city,"['depressing just', 'exciting depressing', 'depressing', 'city', 'just picture', 'picture', 'exciting', 'just', '', '']","[""It's just a picture of the city, nothing too exciting or depressing about it."", ""It's just a picture of the city, nothing too exciting or depressing about it."", ""It's just a picture of the city, nothing too exciting or depressing about it.""]"
47,165,47_architecture_keeps_gives somewhat_impressive,"['architecture', 'keeps', 'gives somewhat', 'impressive', 'quite neutral', 'interesting', 'creates', 'neutral feeling', 'neutral', 'emptiness']","['The architecture is impressive, but the utilitarian nature of the space keeps the feeling quite neutral.', 'The symmetrical architecture is impressive, but the utilitarian nature of the space keeps the feeling quite neutral.', 'The symmetrical architecture is impressive, but the utilitarian nature of the space keeps the feeling quite neutral.']"
48,163,48_decay neglect_pervasive sense_sense decay_neglect space,"['decay neglect', 'pervasive sense', 'sense decay', 'neglect space', 'deeply', 'pervasive', 'urban scene', 'disheartening', 'decay', 'registers']","['The pervasive sense of decay and neglect in this space is deeply disheartening.', 'The pervasive sense of decay and neglect in this space is deeply disheartening.', 'The pervasive sense of decay and neglect in this space is deeply disheartening.']"
49,159,49_inherently negative_indicator_caution_inherently,"['inherently negative', 'indicator', 'caution', 'inherently', 'area', 'immediately', 'tape', 'negative', 'problem', 'suggests']","['The presence of multiple caution tapes suggests a restricted or problematic area, which is inherently a negative indicator.', 'The presence of multiple caution tapes suggests a restricted or problematic area, which is inherently a negative indicator.', 'The presence of multiple caution tapes suggests a restricted or problematic area, which is inherently a negative indicator of order.']"
50,158,50_just regular_country_regular_road,"['just regular', 'country', 'regular', 'road', 'exciting', 'upsetting just', 'depressing just', 'exciting upsetting', 'exciting depressing', 'upsetting']","[""It's just a regular country road, nothing too exciting or upsetting about it."", ""It's just a regular country road, nothing too exciting or upsetting about it."", ""It's just a regular country road, nothing too exciting or upsetting about it.""]"
51,157,51_pretty typical_left_things going_combination,"['pretty typical', 'left', 'things going', 'combination', 'place looks', 'things fall', 'place', 'fall apart', 'apart', 'fall']","[""This place looks like it's been left to rot, which just reminds me of how things fall apart when you don't take care of them."", ""This whole place looks like it's been left to rot, which just reminds me of how things fall apart when you don't take care of them."", ""This place looks like it's been left to rot, which just reminds me of how things fall apart when you don't take care of them.""]"
52,155,52_tape_caution_problem_business,"['tape', 'caution', 'problem', 'business', 'immediately', 'sign', 'kind', 'suggests kind', 'good', 'kind disruption']","['The caution tape immediately signals some kind of problem or restriction, which is never a good sign for a functioning business.', 'The caution tape immediately signals some kind of problem or restriction, which is never a good sign for a functioning business.', 'The caution tape immediately signals some kind of problem or restriction, which is never a good sign for business.']"
53,155,53_street scene_street_mundane_positive feeling,"['street scene', 'street', 'mundane', 'positive feeling', 'construction', 'gentle', 'serene', 'light', 'standard', 'art']","['The image presents a mundane street scene featuring both a piece of street art and standard construction equipment.', 'The image presents a mundane street scene featuring both a piece of street art and standard construction equipment.', 'The image presents a mundane street scene featuring both a piece of street art and standard construction equipment.']"
54,154,54_resources_run_neglected just_speaks lack,"['resources', 'run', 'neglected just', 'speaks lack', 'place looks', 'place', 'really speaks', 'lack care', 'decay neglect', 'lack']","['This place looks completely run down and neglected, which is just a waste of resources.', 'This place looks completely run down and neglected, which is just a waste of resources.', 'This place looks completely run down and neglected, which is just a waste of resources.']"
55,152,55_frustrating_systemic failures_failures_reflects systemic,"['frustrating', 'systemic failures', 'failures', 'reflects systemic', 'decay neglect', 'reflects', 'overall state', 'state decay', 'neglect space', 'deeply']","['The overall state of decay and neglect in this space reflects systemic failures that are deeply frustrating.', 'The overall state of decay and neglect in this space reflects systemic failures that are deeply frustrating.', 'The overall state of decay and neglect in this space reflects systemic failures that are deeply frustrating.']"
56,151,56_evokes sense_disrepair neglect_evokes_sense neglect,"['evokes sense', 'disrepair neglect', 'evokes', 'sense neglect', 'convey', 'neglect space', 'visible state', 'state disrepair', 'disrepair', 'abandonment']","['The state of disrepair and neglect in this space evokes a sense of melancholy and abandonment.', 'The state of disrepair and neglect in this space evokes a sense of melancholy and abandonment.', 'The state of disrepair and neglect in this space evokes a sense of melancholy and abandonment.']"
57,150,57_busy_areas_texture_shot,"['busy', 'areas', 'texture', 'shot', 'emotional response', 'response', 'doesnt evoke', 'evoke strong', 'uplifting', 'just reflects']","[""The image is just a texture shot, which doesn't evoke a strong emotional response for me."", ""The image is just a texture shot, which doesn't evoke a strong emotional response for me."", ""The image is just a texture shot, which doesn't evoke a strong emotional response for me.""]"
58,150,58_backdrop_bright sunlight_greenery_scene pleasant,"['backdrop', 'bright sunlight', 'greenery', 'scene pleasant', 'sunlight', 'pleasant', 'despite', 'lend', 'quality scene', 'bright']","['The bright sunlight and established greenery give the scene a pleasant, orderly feel despite the urban backdrop.', 'The bright sunlight and established greenery give the scene a pleasant, orderly feel despite the urban backdrop.', 'The bright sunlight and established greenery give the scene a pleasant, orderly feel despite the urban backdrop.']"
59,143,59_general_dealing_general state_arent,"['general', 'dealing', 'general state', 'arent', 'fall apart', 'things fall', 'fall', 'just screams', 'screams', 'neglect']","['The rust and general state of disrepair just screams neglect, which is what we see too much of in this city.', 'The heavy rust and general decay on this metal barrier just speaks to neglect and how things fall apart around us.', 'The heavy rust and general decay on this barrier really speaks to neglect and the way big systems let things fall apart.']"
60,142,60_day_going_just snapshot_particularly noteworthy,"['day', 'going', 'just snapshot', 'particularly noteworthy', 'noteworthy', 'snapshot', 'people', 'particularly good', 'bad just', 'particularly']","[""It's just a snapshot of people going about their day, nothing particularly noteworthy or upsetting."", ""It's just a snapshot of people going about their day, nothing particularly noteworthy or upsetting."", ""It's just a snapshot of people going about their day, nothing particularly noteworthy or upsetting.""]"
61,141,61_upsetting just_exciting upsetting_just picture_picture,"['upsetting just', 'exciting upsetting', 'just picture', 'picture', 'upsetting', 'exciting', 'just', 'really', '', '']","[""It's just a picture of a floor, nothing exciting or upsetting about it."", ""It's just a picture of a floor, nothing exciting or upsetting about it."", ""It's just a picture of a floor, nothing exciting or upsetting about it.""]"
62,141,62_particularly exciting_necessary_upsetting just_piece,"['particularly exciting', 'necessary', 'upsetting just', 'piece', 'particularly', 'exciting upsetting', 'upsetting', 'exciting', 'particularly striking', 'work']","[""It's just a picture of some necessary work being done, nothing particularly exciting or upsetting about it."", ""It's just a picture of some necessary work being done, nothing particularly exciting or upsetting about it."", ""It's just a picture of some necessary work being done, nothing particularly exciting or upsetting about it.""]"
63,138,63_upsetting just_exciting upsetting_just picture_picture,"['upsetting just', 'exciting upsetting', 'just picture', 'picture', 'upsetting', 'exciting', 'just', 'particularly exciting', 'particularly', '']","[""It's just a picture of the neighborhood, nothing too exciting or upsetting to me."", ""It's just a picture of the neighborhood, nothing too exciting or upsetting to me."", ""It's just a picture of the neighborhood, nothing too exciting or upsetting to me.""]"
64,138,64_street scene_street_mundane_art,"['street scene', 'street', 'mundane', 'art', 'moving', 'traffic', 'upsetting just', 'scene', 'exciting', 'exciting upsetting']","[""It's just a mundane street scene with some street art and a cone, nothing too exciting or upsetting."", ""It's just a mundane street scene with some street art and a cone, nothing too exciting or upsetting."", ""It's just a mundane street scene with some street art and a cone, nothing too exciting or upsetting.""]"
65,137,65_melancholic_evokes_negative feeling_pervasive sense,"['melancholic', 'evokes', 'negative feeling', 'pervasive sense', 'sense decay', 'abandonment space', 'bleak', 'pervasive', 'darkness', 'abandonment']","['The pervasive sense of decay and abandonment in this space evokes a deeply melancholic and negative feeling.', 'The pervasive sense of decay and abandonment in this space evokes a deeply melancholic and negative feeling.', 'The pervasive sense of decay and abandonment in this space evokes a deeply melancholic and negative feeling.']"
66,137,66_emptiness structure_decay emptiness_state decay_emptiness,"['emptiness structure', 'decay emptiness', 'state decay', 'emptiness', 'falling', 'falling apart', 'wood', 'decay', 'frankly', 'clear sky']","['The state of decay and emptiness in this structure speaks to a clear lack of productive use.', 'The state of decay and emptiness in this structure speaks to a clear lack of productive use.', 'The state of decay and emptiness in this structure speaks to a clear lack of productive use.']"
67,137,67_doing_youre_pretty_trying,"['doing', 'youre', 'pretty', 'trying', 'want', 'working', 'muted', 'feels pretty', 'nice', 'people']","['It just shows people doing a job in a tunnel, which feels pretty routine for the working class.', 'It just shows people doing a job in a tunnel, which feels pretty routine for the working class.', 'It just shows people doing a job in a tunnel, which feels pretty routine for the working class.']"
68,136,68_civic_care_general_lack,"['civic', 'care', 'general', 'lack', 'disappointing', 'quite disheartening', 'suggests', 'visible', 'disheartening', 'frankly']","['The visible accumulation of trash and general disarray suggests a lack of civic care, which is quite disheartening.', 'The visible accumulation of trash and general disarray suggests a lack of civic care, which is quite disheartening.', 'The visible accumulation of trash and general disarray suggests a lack of civic care, which is quite disheartening.']"
69,133,69_home_simple_want_decent,"['home', 'simple', 'want', 'decent', 'calm', 'protest', 'feels quite', 'tense', 'scene', 'suggests kind']","[""It's a simple, calm scene with a cute toy, which is what you want in a decent home."", ""It's a simple, calm scene with a cute toy, which is what you want in a decent home."", ""It's a simple, calm scene with a cute toy, which is what you want in a decent home.""]"
70,132,70_scene quite_utilitarian_tone_suggesting,"['scene quite', 'utilitarian', 'tone', 'suggesting', 'sentiment', 'gives neutral', 'setting feels', 'neglected', 'slightly', 'stark']","['The scene is quite stark, suggesting a utilitarian or neglected space, which keeps the sentiment firmly in the neutral range.', 'The scene is quite stark, suggesting a utilitarian or neglected space without any strong emotional valence.', 'The scene is quite stark, suggesting a utilitarian or neglected space without any strong emotional valence.']"
71,132,71_disheartening state_disrepair neglect_space quite_quite disheartening,"['disheartening state', 'disrepair neglect', 'space quite', 'quite disheartening', 'neglect space', 'disheartening', 'state disrepair', 'disrepair', 'quite', 'pretty typical']","['The state of disrepair and neglect in this space is quite disheartening.', 'The state of disrepair and neglect in this space is quite disheartening.', 'The state of disrepair and neglect in this space is quite disheartening.']"
