image_id,caption_sim,n_personas,sentiment_agreement,majority_sentiment,label_jaccard
1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,0.76765263,1200,1.0,Negative,0.6152170790473543
1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,0.8853121,1200,1.0,SlightlyNegative,0.6848178177581847
1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,0.96642673,1200,1.0,SlightlyNegative,0.7316209308021234
1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,0.83431923,1200,0.5220030581039755,SlightlyPositive,0.6254507095860307
1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,0.9061013,1200,1.0,Neutral,0.6849817208785098
1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,0.9365975,1200,1.0,SlightlyNegative,0.9571574857354674
1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,0.8858466,1200,0.5210063942174034,Neutral,0.5636802907846485
1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,0.8340299,1200,1.0,Neutral,0.7760063065120405
1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,0.8672917,1200,1.0,Negative,0.7872250023167455
1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,0.9430937,1200,0.694017236586044,Positive,0.42743161022633497
1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,0.9338492,1200,1.0,Neutral,0.6776776811363968
1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,0.9092091,1200,1.0,Neutral,0.469461323589764
1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,0.866229,1200,1.0,Positive,0.8709171498735718
1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,0.6993829,1200,0.5783208229079789,Neutral,0.403474379001902
1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,0.93213123,1200,1.0,Neutral,0.516101410567007
1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,0.9594141,1200,1.0,SlightlyNegative,0.9317011199809364
1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,0.9615048,1200,1.0,SlightlyPositive,0.9352194288891535
1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,0.9875572,1200,0.721990547678621,SlightlyPositive,0.6293117214080516
1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,0.9406702,1200,0.9966694467611898,Neutral,0.7962780822643208
1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,0.9858634,1200,1.0,SlightlyPositive,0.7336126004474629
1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,0.8601152,1200,0.38702390881289966,Positive,0.6159913982551597
1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,0.9200836,1200,1.0,SlightlyPositive,0.47938526980155416
1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,0.8874926,1200,0.9883917153183208,Neutral,0.5940735665965023
1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,0.90198183,1200,0.7231039755351681,Neutral,0.49087904106596764
1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,0.87833196,1200,0.6305935501807062,SlightlyNegative,0.48651895759693925
1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,0.90235054,1200,0.6070113983875451,SlightlyPositive,0.66866204641434
