annotation_id,persona_id,image_id,predicted_sentiment,caption_topic,just_topic
p00056301_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_baseline,00056301-002b-4188-ae79-f94a05a481f2,1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,SlightlyPositive,178,-1
p00056301_img_1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46_baseline,00056301-002b-4188-ae79-f94a05a481f2,1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,Neutral,125,-1
p00056301_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_baseline,00056301-002b-4188-ae79-f94a05a481f2,1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,Neutral,60,10
p00056301_img_13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ_baseline,00056301-002b-4188-ae79-f94a05a481f2,13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,Neutral,176,64
p00056301_img_1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr_baseline,00056301-002b-4188-ae79-f94a05a481f2,1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,SlightlyPositive,103,19
p00056301_img_1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr_baseline,00056301-002b-4188-ae79-f94a05a481f2,1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,SlightlyPositive,115,-1
p00056301_img_183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR_baseline,00056301-002b-4188-ae79-f94a05a481f2,183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,Neutral,7,71
p00056301_img_1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX_baseline,00056301-002b-4188-ae79-f94a05a481f2,1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,Neutral,2,-1
p00056301_img_14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U_baseline,00056301-002b-4188-ae79-f94a05a481f2,14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,SlightlyNegative,9,-1
p00056301_img_1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ_baseline,00056301-002b-4188-ae79-f94a05a481f2,1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,Neutral,-1,163
p00056301_img_1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm_baseline,00056301-002b-4188-ae79-f94a05a481f2,1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,Neutral,227,-1
p00056301_img_1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A_baseline,00056301-002b-4188-ae79-f94a05a481f2,1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,Neutral,208,-1
p00056301_img_1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps_baseline,00056301-002b-4188-ae79-f94a05a481f2,1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,Neutral,183,-1
p00056301_img_1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4_baseline,00056301-002b-4188-ae79-f94a05a481f2,1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,Positive,30,-1
p00056301_img_1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ__baseline,00056301-002b-4188-ae79-f94a05a481f2,1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,Negative,-1,-1
p00056301_img_1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK_baseline,00056301-002b-4188-ae79-f94a05a481f2,1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,SlightlyNegative,-1,59
p00056301_img_1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56_baseline,00056301-002b-4188-ae79-f94a05a481f2,1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,SlightlyPositive,0,-1
p00056301_img_103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG_baseline,00056301-002b-4188-ae79-f94a05a481f2,103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,Neutral,147,-1
p00056301_img_1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh_baseline,00056301-002b-4188-ae79-f94a05a481f2,1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,Neutral,19,50
p00056301_img_1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X_baseline,00056301-002b-4188-ae79-f94a05a481f2,1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,Negative,31,0
p00056301_img_135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO_baseline,00056301-002b-4188-ae79-f94a05a481f2,135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,Negative,28,-1
p00056301_img_13VAge1esbhXsqK9d8LznHQzWgjFA-qRY_baseline,00056301-002b-4188-ae79-f94a05a481f2,13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,Neutral,21,-1
p00056301_img_1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A_baseline,00056301-002b-4188-ae79-f94a05a481f2,1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,Neutral,-1,-1
p00056301_img_1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z_baseline,00056301-002b-4188-ae79-f94a05a481f2,1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,Negative,138,44
p00056301_img_11DOuFmByYWPoQc2QyFxzxcb1da83nIqF_baseline,00056301-002b-4188-ae79-f94a05a481f2,11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,SlightlyNegative,177,41
p00056301_img_1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN_baseline,00056301-002b-4188-ae79-f94a05a481f2,1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,Neutral,187,90
p00056301_img_1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb_baseline,00056301-002b-4188-ae79-f94a05a481f2,1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,SlightlyNegative,35,166
p00056301_img_16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by_baseline,00056301-002b-4188-ae79-f94a05a481f2,16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,Negative,-1,-1
p00056301_img_1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9_baseline,00056301-002b-4188-ae79-f94a05a481f2,1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,SlightlyNegative,-1,-1
p00056301_img_1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR_baseline,00056301-002b-4188-ae79-f94a05a481f2,1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,Neutral,-1,-1
p00056301_img_1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T_baseline,00056301-002b-4188-ae79-f94a05a481f2,1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,Neutral,-1,143
p00056301_img_1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj_baseline,00056301-002b-4188-ae79-f94a05a481f2,1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,SlightlyPositive,56,-1
p00056301_img_1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-_baseline,00056301-002b-4188-ae79-f94a05a481f2,1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,Negative,-1,7
p00056301_img_102tapSsNubXllWzP7asAW-qwMJApiWt6_baseline,00056301-002b-4188-ae79-f94a05a481f2,102tapSsNubXllWzP7asAW-qwMJApiWt6,Negative,16,-1
p00056301_img_1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW_baseline,00056301-002b-4188-ae79-f94a05a481f2,1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,Neutral,97,60
p00056301_img_1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP_baseline,00056301-002b-4188-ae79-f94a05a481f2,1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,Neutral,-1,-1
p00056301_img_160nowuoebdBnrXT3OgLQmAXD-qAJdkhn_baseline,00056301-002b-4188-ae79-f94a05a481f2,160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,Negative,-1,-1
p00056301_img_1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda_baseline,00056301-002b-4188-ae79-f94a05a481f2,1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,Negative,-1,-1
p00056301_img_1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E_baseline,00056301-002b-4188-ae79-f94a05a481f2,1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,SlightlyNegative,-1,-1
p00056301_img_16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8_baseline,00056301-002b-4188-ae79-f94a05a481f2,16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,SlightlyNegative,114,36
p0005da9e_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,SlightlyPositive,-1,4
p0005da9e_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,Positive,116,8
p0005da9e_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,Neutral,105,143
p0005da9e_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,Neutral,149,-1
p0005da9e_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,Neutral,-1,86
p0005da9e_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,SlightlyNegative,-1,-1
p0005da9e_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,Neutral,-1,-1
p0005da9e_img_1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,SlightlyNegative,152,-1
p0005da9e_img_1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK__baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,SlightlyPositive,38,-1
p0005da9e_img_1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,SlightlyPositive,54,131
p0005da9e_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,SlightlyPositive,123,125
p0005da9e_img_1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,Neutral,133,-1
p0005da9e_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,Neutral,60,-1
p0005da9e_img_13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,SlightlyPositive,26,38
p0005da9e_img_1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,SlightlyPositive,1,19
p0005da9e_img_1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,Positive,-1,-1
p0005da9e_img_183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,Neutral,7,13
p0005da9e_img_1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,Neutral,158,4
p0005da9e_img_14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,SlightlyNegative,-1,-1
p0005da9e_img_1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,SlightlyPositive,-1,-1
p0005da9e_img_1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,Neutral,52,20
p0005da9e_img_1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,Neutral,80,170
p0005da9e_img_1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,Neutral,-1,88
p0005da9e_img_1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,Positive,58,-1
p0005da9e_img_1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ__baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,Negative,79,-1
p0005da9e_img_1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,SlightlyNegative,9,-1
p0005da9e_img_1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,SlightlyPositive,0,-1
p0005da9e_img_103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,Neutral,24,40
p0005da9e_img_1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,Neutral,165,130
p0005da9e_img_1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,Negative,-1,6
p0005da9e_img_135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,Negative,106,54
p0005da9e_img_13VAge1esbhXsqK9d8LznHQzWgjFA-qRY_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,Neutral,4,-1
p0005da9e_img_1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,Neutral,225,-1
p0005da9e_img_1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,Negative,88,44
p0005da9e_img_11DOuFmByYWPoQc2QyFxzxcb1da83nIqF_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,SlightlyNegative,113,45
p0005da9e_img_1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,Neutral,205,-1
p0005da9e_img_1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,SlightlyNegative,75,-1
p0005da9e_img_16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,Negative,-1,-1
p0005da9e_img_1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,SlightlyNegative,-1,-1
p0005da9e_img_1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,SlightlyNegative,96,26
p0005da9e_img_1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,Neutral,5,-1
p0005da9e_img_1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,SlightlyPositive,6,-1
p0005da9e_img_1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,Negative,-1,43
p0005da9e_img_102tapSsNubXllWzP7asAW-qwMJApiWt6_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,102tapSsNubXllWzP7asAW-qwMJApiWt6,Negative,16,-1
p0005da9e_img_1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,SlightlyNegative,242,20
p0005da9e_img_1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,Neutral,160,-1
p0005da9e_img_160nowuoebdBnrXT3OgLQmAXD-qAJdkhn_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,Negative,137,-1
p0005da9e_img_1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,Negative,240,-1
p0005da9e_img_1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,SlightlyNegative,153,34
p0005da9e_img_16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8_baseline,0005da9e-486a-4a8b-832f-a2d8ba57b158,16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,SlightlyNegative,85,36
p0019166f_img_1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1sbeoG9lNoBoIWPVjpRxkq_-OFcm7JASF,SlightlyPositive,209,-1
p0019166f_img_1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1iJTUQJrnL6JpSTFVieUrVMOwmk8CxOCQ,Positive,172,8
p0019166f_img_1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1GXtaH5Nq_SC-6sHe432wuR1YcWyUX86E,Neutral,57,109
p0019166f_img_1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1E7sGHkf9mgoSumKn_Oj9wLe8eymnUuig,Neutral,12,73
p0019166f_img_10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,10ha6FXS8e5O7LoMJMasGsqRPE_9V8tk4,SlightlyPositive,11,66
p0019166f_img_1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1vGXqNBhcyUBZaGxJsY9zWmyEZvMzG1yc,SlightlyNegative,91,-1
p0019166f_img_1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1Q_gMcjg8yrq2M7OCj1uBySMtP03fZgx-,SlightlyPositive,204,30
p0019166f_img_1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1SF9dCdqBX2lAPgUBP0_ucp6WHDf5j3jS,SlightlyNegative,63,-1
p0019166f_img_1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK__baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1vKcmpxFO6XnR5yGCJF-Vbq_dnVKj6QK_,Positive,136,2
p0019166f_img_1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1r7ff1KflZ1FUAQO6k9fhsHzpsmUdsFq4,SlightlyPositive,206,-1
p0019166f_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,SlightlyPositive,143,82
p0019166f_img_1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,Neutral,107,70
p0019166f_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,Neutral,3,165
p0019166f_img_13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,SlightlyPositive,102,-1
p0019166f_img_1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,SlightlyPositive,-1,19
p0019166f_img_1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,Positive,-1,-1
p0019166f_img_183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,SlightlyPositive,199,-1
p0019166f_img_1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,Neutral,2,-1
p0019166f_img_14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,SlightlyNegative,92,13
p0019166f_img_1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,SlightlyPositive,226,30
p0019166f_img_1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,Neutral,37,-1
p0019166f_img_1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,SlightlyPositive,104,-1
p0019166f_img_1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps_baseline,0019166f-704c-49bd-9944-b6c16d7d0060,1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,SlightlyPositive,-1,-1
