Topic,Count,Name,Representation,Representative_Docs
9,1092,9_typical_urban scene_typical urban_city,"['typical', 'urban scene', 'typical urban', 'city', 'typical city', 'city scene', 'street', 'just', 'positive negative', 'routine']","['A typical urban scene with no clear positive or negative elements, just daily city life.', ""It's a typical urban scene with no clear positive or negative elements, just everyday city life."", ""It's a typical urban scene with no clear positive or negative elements, just everyday city life.""]"
10,1065,10_space people_public space_people_everyday,"['space people', 'public space', 'people', 'everyday', 'space', 'scene people', 'tranquil', 'public', 'quiet', 'community space']","['A peaceful public space with people resting, typical of a normal day.', 'The tranquil public space with people calmly gathered reflects a peaceful everyday moment.', 'A quiet, routine public space where people are calmly resting.']"
11,1054,11_dark_end_light_hope,"['dark', 'end', 'light', 'hope', 'societal', 'urban decay', 'oppressive', 'offers', 'societal decay', 'decay']","['The dark, graffiti-covered tunnel feels neglected and unwelcoming, despite the light at the end.', 'The dark, graffiti-covered tunnel feels neglected and oppressive, even with the light at the end.', 'The dark, graffiti-covered tunnel feels neglected and isolated, but the light at the end offers a small hope.']"
12,1017,12_place_place looks_like neglected_years,"['place', 'place looks', 'like neglected', 'years', 'looks', 'looks like', 'like', 'sad', 'neglected', 'makes']","[""This place looks like it's been neglected for years, which is sad for the community."", ""This place looks like it's been neglected for years, which is sad for the community."", ""This place looks like it's been neglected for years, which is sad to see.""]"
13,926,13_state reflects_failure_state_reflects failure,"['state reflects', 'failure', 'state', 'reflects failure', 'state disrepair', 'unacceptable', 'failure maintain', 'maintain', 'disrepair', 'example neglect']","['This neglected state reflects a failure to maintain property, which is contrary to conservative values of order and responsibility.', 'This is a clear example of neglect and disrepair that reflects a failure to maintain public property, which is unacceptable in a well-ordered community.', 'This neglected state reflects a failure to maintain public property, which is unacceptable.']"
14,831,14_surface_plain_visual_unremarkable,"['surface', 'plain', 'visual', 'unremarkable', 'emotional', 'stark', 'worn', 'just', 'cues', 'elements']","['The image is a plain, unremarkable concrete surface with no strong emotional or contextual elements.', 'This is a plain, unremarkable surface with no strong emotional cues.', 'Plain, unremarkable concrete surface with no visual interest.']"
15,817,15_government neglect_government_neglect poor_like government,"['government neglect', 'government', 'neglect poor', 'like government', 'example', 'clear example', 'taxpayer', 'taxpayer money', 'clear', 'neglect']","['This is a clear example of government neglect and poor upkeep, which is a waste of taxpayer money.', 'This is a clear example of government neglect and poor maintenance, which wastes taxpayer money.', 'This is a clear example of government neglect and poor maintenance, which wastes taxpayer money.']"
16,759,16_traditional architecture_heritage_architecture_traditional,"['traditional architecture', 'heritage', 'architecture', 'traditional', 'serene setting', 'natural beauty', 'serene', 'serene scene', 'beauty', 'elements']","['The serene setting with traditional architecture and natural beauty evokes a sense of calm and appreciation for cultural heritage.', 'The serene setting with traditional architecture and natural beauty evokes a sense of calm and appreciation for cultural heritage.', 'The serene setting with traditional architecture and natural beauty evokes a sense of calm and appreciation for cultural heritage.']"
17,711,17_neglected space_communities_space reflects_systemic neglect,"['neglected space', 'communities', 'space reflects', 'systemic neglect', 'abandoned space', 'lowincome communities', 'systemic', 'seeing neglected', 'space', 'seeing']","['Seeing this neglected space makes me think about how systemic neglect affects communities, especially those already struggling.', 'This neglected space reflects systemic neglect that affects communities like mine.', 'This neglected space reflects systemic neglect and poverty, common in under-resourced communities.']"
18,691,18_broken_hazard_safety hazard_indicate,"['broken', 'hazard', 'safety hazard', 'indicate', 'hazardous', 'safety', 'attention', 'immediate', 'poor maintenance', 'situation']","['The broken glass and caution tape indicate a safety hazard and neglect of maintenance.', 'The broken glass and caution tape indicate a safety hazard and neglect of maintenance.', 'The broken glass and caution tape indicate a safety hazard requiring maintenance.']"
19,665,19_artistic_adds_traffic_design,"['artistic', 'adds', 'traffic', 'design', 'touch', 'dirty', 'element', 'slightly positive', 'worn', 'shows community']","['The artistic design on the manhole cover adds a positive visual element to the urban setting, while the traffic cone indicates routine work.', 'The artistic manhole cover design adds a creative element to the urban setting, offsetting the worn traffic cone.', ""The manhole cover's design adds a small artistic touch to the urban setting, but the traffic cone indicates routine maintenance work.""]"
20,659,20_day_going_business_normal,"['day', 'going', 'business', 'normal', 'people', 'typical', 'routines', 'daily routines', 'like typical', 'city']","[""It's a typical day with people going about their business, which feels normal and positive."", ""It's a typical day in the city with people going about their business, which feels normal and orderly."", ""It's a typical day in the city with people going about their business, which feels normal and community-oriented.""]"
21,655,21_neglected infrastructure_infrastructure_lowincome communities_communities,"['neglected infrastructure', 'infrastructure', 'lowincome communities', 'communities', 'lowincome', 'neglect infrastructure', 'kind', 'impacts', 'systemic neglect', 'affects']","['As a low-income person, seeing neglected infrastructure reflects systemic neglect that affects communities like mine.', 'Neglected infrastructure reflects systemic issues.', 'This neglected infrastructure reflects the systemic neglect I face in my community.']"
22,650,22_room_walls_neglected state_state,"['room', 'walls', 'neglected state', 'state', 'abandonment', 'crumbling walls', 'crumbling', 'neglected', 'neglected condition', 'condition']","['The neglected state of the room and walls reflects a lack of care, which is disheartening to see.', 'The neglected state of the space, with crumbling walls and empty room, reflects a lack of upkeep and care.', 'The neglected state of the room, with peeling walls and empty space, reflects a profound sense of abandonment and decay.']"
23,638,23_neglected space_space shows_space_upkeep,"['neglected space', 'space shows', 'space', 'upkeep', 'shows clear', 'neglected', 'clear signs', 'lack', 'poor', 'signs']","['This neglected space shows clear signs of abandonment and poor community upkeep, which is unacceptable for a well-maintained environment.', 'This neglected space shows clear signs of abandonment and poor upkeep, which is a negative reflection.', 'This neglected space shows clear signs of abandonment and poor upkeep, which is negative.']"
24,637,24_nature_escape_serene_wellmaintained natural,"['nature', 'escape', 'serene', 'wellmaintained natural', 'natural', 'peaceful', 'connection', 'quiet', 'connection nature', 'beauty']","['This peaceful forest path reminds me of quiet walks in the woods, which brings a sense of calm and connection to nature.', 'The serene natural setting with a well-maintained path through the forest evokes a sense of calm and connection to nature.', 'This peaceful natural setting reminds me of quiet walks in the woods, which brings a sense of calm and connection to nature.']"
25,631,25_underfunding_systemic_lowincome communities_communities,"['underfunding', 'systemic', 'lowincome communities', 'communities', 'reflects systemic', 'direct result', 'direct', 'result', 'disproportionately', 'lowincome']","['This kind of neglect in public infrastructure is a direct result of underfunding, which disproportionately affects low-income communities.', 'This neglected space reflects systemic underfunding and neglect of public infrastructure, which is a direct result of failing to prioritize community needs.', 'This image highlights the neglect of public infrastructure in marginalized communities, a direct result of systemic underfunding and lack of investment.']"
26,589,26_sunlight_trees_natural beauty_nature,"['sunlight', 'trees', 'natural beauty', 'nature', 'serene', 'beauty', 'wellmaintained', 'natural', 'orderly', 'peaceful']","['The serene park setting with sunlight filtering through trees creates a peaceful and rejuvenating atmosphere.', 'The serene park setting with sunlight filtering through the trees creates a peaceful urban oasis.', 'This serene park with sunlight filtering through the trees and natural beauty brings a peaceful calm that aligns with my conservative appreciation for order and nature.']"
27,566,27_activities_daily_engagement_engaging,"['activities', 'daily', 'engagement', 'engaging', 'activity', 'engaged', 'vibrant', 'people', 'community', 'life']","['The scene depicts a vibrant community space with people engaging in daily activities, reflecting a positive, lively atmosphere.', 'This depicts a typical, active community scene with people engaging in daily activities, reflecting a positive view of urban life.', 'The scene depicts a lively community space with people engaging in daily activities, reflecting a positive sense of public life and community engagement.']"
28,553,28_poverty_communities_lack resources_resources,"['poverty', 'communities', 'lack resources', 'resources', 'systemic', 'face', 'reflects systemic', 'lowincome communities', 'neglect lack', 'lowincome']","['Seeing this kind of neglect and disrepair in a community reflects the systemic poverty and lack of resources that people like me face daily.', 'This neglect and lack of resources reflect the systemic poverty and abandonment we face in our communities.', 'This neglect reflects the systemic issues we face, like poverty and lack of resources for upkeep.']"
29,550,29_clean space_lacks_clean_space feels,"['clean space', 'lacks', 'clean', 'space feels', 'personal', 'space', 'feels', 'modern', 'neutral', 'emotional']","['The clean, empty space feels modern but lacks personal warmth, aligning with a neutral sentiment.', 'A clean, empty space that feels modern but lacks personalization.', 'A clean, empty space that feels modern but lacks personal touches, which is typical for a newly finished room.']"
30,519,30_heavy_major_traffic_common,"['heavy', 'major', 'traffic', 'common', 'time', 'commuters', 'frustrating', 'urban', 'daily', 'inefficient']","['Heavy traffic on a major bridge is a common frustration, but the infrastructure itself is impressive.', 'The heavy traffic on a major bridge can be stressful, but the infrastructure is impressive.', 'Heavy traffic on a major bridge is a common urban frustration but not a crisis.']"
31,492,31_historic_architecture_surroundings_traditional,"['historic', 'architecture', 'surroundings', 'traditional', 'wellmaintained', 'tradition', 'stability', 'traditional architecture', 'respect', 'wellmaintained traditional']","['The well-maintained, traditional architecture and orderly surroundings reflect stability and respect for established institutions, which aligns with conservative values.', 'The well-maintained historic architecture and peaceful surroundings reflect the stability and tradition I value.', 'The traditional architecture and orderly surroundings reflect stability and respect for heritage, which aligns with conservative values.']"
32,455,32_protest_presence_tension_potential conflict,"['protest', 'presence', 'tension', 'potential conflict', 'potential', 'conflict', 'tense', 'suggests', 'justice', 'social']","['The presence of military personnel and protest activity suggests tension and potential conflict.', 'The presence of military forces during a protest suggests tension and potential conflict, which aligns with the negative sentiment.', 'The presence of military personnel and the protest atmosphere suggests tension and potential conflict.']"
33,448,33_abandoned_thriving_lush_greenery,"['abandoned', 'thriving', 'lush', 'greenery', 'suggests neglect', 'resilience', 'natural surroundings', 'suggests', 'overgrown', 'indicates neglect']","[""The abandoned skateboard reflects neglect, but the thriving greenery shows nature's resilience."", 'The abandoned skateboard in the overgrown forest shows neglect, but the thriving nature suggests resilience.', ""The abandoned skateboard suggests neglect in public spaces, while the thriving greenery shows nature's resilience.""]"
34,434,34_scene reflects_unacceptable_poor_scene,"['scene reflects', 'unacceptable', 'poor', 'scene', 'neglect disorder', 'responsibility', 'lack community', 'poor urban', 'scene shows', 'neglect poor']","['This scene reflects poor urban management and neglect, which is unacceptable in a well-maintained community.', 'This scene reflects government neglect and poor community upkeep, which is unacceptable for a well-managed society.', 'This scene reflects government neglect and poor urban management, which is a negative sign for community standards.']"
35,431,35_debris_environmental_indicate_poor,"['debris', 'environmental', 'indicate', 'poor', 'indicate poor', 'environmental neglect', 'indicate neglect', 'poor maintenance', 'maintenance', 'reflect poor']","['The visible litter and debris on the highway indicate environmental neglect and poor maintenance practices.', 'The litter and debris on the highway indicate neglect of public spaces and environmental responsibility.', 'The litter and debris on the highway indicate poor maintenance and environmental neglect.']"
36,430,36_building_state_dilapidated_dilapidated state,"['building', 'state', 'dilapidated', 'dilapidated state', 'neglected state', 'lack', 'structure', 'lack care', 'structure reflects', 'reflects lack']","['The dilapidated state of the building reflects neglect and a lack of care for public infrastructure.', 'The dilapidated state of the building reflects a lack of care and responsibility, which is troubling to see.', 'The dilapidated state of the building reflects a lack of care, which is disheartening.']"
37,428,37_comforting_homey_home_cozy,"['comforting', 'homey', 'home', 'cozy', 'plants', 'comfort', 'warm', 'setup', 'brings comfort', 'brings']","['The cozy, homey setup with the stuffed animal and plants creates a warm, comforting atmosphere that feels nurturing and positive.', 'This cozy setup with the toy and plants gives a warm, homey feel that brings comfort.', 'This cozy setup with the stuffed animal and plants feels like a warm, welcoming home space that brings comfort, especially with the natural light and greenery.']"
38,389,38_state space_neglected state_state_sadness,"['state space', 'neglected state', 'state', 'sadness', 'lack care', 'care', 'space evokes', 'space reflect', 'space', 'reflects lack']","['The neglected state of the space reflects a lack of care, which is disheartening.', 'The neglected state of the space evokes sadness over the lack of care.', 'The neglected state of the space reflects a lack of care for the environment and evokes sadness about human abandonment.']"
39,387,39_home_comfort_setup_family,"['home', 'comfort', 'setup', 'family', 'peaceful', 'tidy', 'stability', 'simple', 'comforting', 'setting reflects']","['This tidy, peaceful home setup reflects traditional values of comfort and stability, which aligns with conservative ideals of order and family-oriented living.', 'This peaceful domestic scene reflects the comfort and stability of a home, which is important for family life.', 'This peaceful, orderly home scene reflects stability and comfort, which aligns with conservative values of family and home.']"
40,374,40_roads_road_trash_seeing,"['roads', 'road', 'trash', 'seeing', 'person seeing', 'shows government', 'government', 'afford', 'government neglect', 'problem']","[""This kind of neglect on the roads is what I see every day in my community where they don't clean up after the trash."", 'This shows government neglect on the roads, which is a problem for working-class people like me who have to drive daily.', ""Seeing trash and neglect on public roads is frustrating because it affects everyone, especially those who can't afford to clean up after themselves.""]"
41,372,41_traffic_time_money_stress,"['traffic', 'time', 'money', 'stress', 'tight', 'tight budget', 'budget', 'lowincome person', 'waste', 'frustrating']","['Traffic jams waste time and money, which is especially tough for someone on a tight budget.', 'Traffic jams waste time and money, which is especially tough for someone on a tight budget.', 'Traffic jams waste time and money, which is especially tough for someone on a tight budget.']"
42,365,42_tranquil_landscape_beauty_appreciation,"['tranquil', 'landscape', 'beauty', 'appreciation', 'natures beauty', 'sense', 'calm appreciation', 'sense calm', 'tranquil natural', 'natures']","['The tranquil natural beauty of the sunset and landscape evokes a sense of calm and appreciation for the environment.', 'The tranquil natural beauty of the sunset and landscape evokes a sense of calm and appreciation for the environment.', 'The tranquil natural beauty and vibrant sunset evoke a sense of calm and appreciation for the environment.']"
43,362,43_historic_architecture_wellmaintained_greenery,"['historic', 'architecture', 'wellmaintained', 'greenery', 'welcoming', 'feels welcoming', 'community', 'accessible', 'reflects positive', 'positive environment']","['The well-maintained campus with greenery and historic architecture reflects a positive investment in education and community.', 'The well-maintained campus with historic architecture and greenery feels welcoming and supportive of education.', 'This campus feels welcoming and well-maintained, with historic architecture greenery campus environment']"
44,327,44_view_sunny_calm_serene,"['view', 'sunny', 'calm', 'serene', 'combined', 'sunny day', 'moment', 'nostalgic', 'calm appreciation', 'skies']","['The serene view of the bridge, water, and cityscape under sunny skies creates a calm and enjoyable atmosphere.', 'The serene, nostalgic view of the bridge and water with a sunny day evokes a sense of calm and appreciation for nature.', ""The serene view of the bridge and water under sunny skies evokes a sense of calm and appreciation for nature's beauty.""]"
45,318,45_traditional architecture_serene setting_architecture_peaceful nostalgic,"['traditional architecture', 'serene setting', 'architecture', 'peaceful nostalgic', 'traditional', 'nostalgic', 'evokes', 'serene', 'nostalgic atmosphere', 'evokes peaceful']","['The serene setting with cherry blossoms and traditional architecture evokes a peaceful, nostalgic atmosphere.', 'The serene setting with traditional architecture and cherry blossoms evokes a peaceful, nostalgic appreciation for cultural heritage.', 'The serene setting with traditional architecture and cherry blossoms evokes a peaceful, nostalgic appreciation for cultural heritage.']"
46,318,46_force_using_police_scene shows,"['force', 'using', 'police', 'scene shows', 'order scene', 'scene depicts', 'public order', 'protest', 'depicts', 'excessive']","['This scene depicts police using force to control a protest, which is a negative display of public order.', 'This scene shows police using force during a protest, which is negative.', 'This scene shows police using force to control a protest, which is a negative display of authority over public order.']"
47,314,47_historical_site_preservation_structure,"['historical', 'site', 'preservation', 'structure', 'heritage', 'historical preservation', 'decay', 'aged', 'visible decay', 'structure reflects']","['As a conservative, I value historical preservation, but this neglected site reflects a lack of care for our heritage.', 'Looks like a neglected historical site, not much to be positive about.', 'The visible decay and neglect of this historical site are concerning, despite its historical significance.']"
48,307,48_bright_contrasts_hope_stands,"['bright', 'contrasts', 'hope', 'stands', 'beauty', 'neglected', 'despite', 'hopeful', 'overlooked', 'slightly positive']","[""The bright, saturated glass contrasts with the neglected barn, but the glass's beauty makes it positive."", ""The bright, colorful glass contrasts with the neglected barn, but the glass's beauty makes it positive."", ""The bright glass contrasts with the neglected barn, but the glass's beauty is noticeable.""]"
49,303,49_loss_negative image_clearly negative_destruction,"['loss', 'negative image', 'clearly negative', 'destruction', 'event', 'caused', 'image depicts', 'image', 'life', 'clearly']","['This image depicts a tragic event that caused immense loss of life and destruction, which is clearly negative.', 'This image depicts the horrific destruction caused by a terrorist attack that resulted in massive loss of life, which is clearly a negative event.', 'This image depicts a terrorist attack that caused massive destruction and loss of life, which is clearly a negative event.']"
50,296,50_charm_natural beauty_colors_aged,"['charm', 'natural beauty', 'colors', 'aged', 'beauty', 'old', 'natural', 'contrasts', 'create', 'visually']","['The vibrant natural beauty of the crystal and the historical charm of the old barn evoke a sense of appreciation for nature and heritage.', 'The striking natural beauty of the crystal contrasts with the rustic barn, creating a harmonious and visually appealing scene that reflects both the elegance of nature and the enduring charm of aged structures.', ""The crystal's vivid colors and the rustic barn evoke a sense of natural beauty and traditional charm, which aligns with conservative appreciation for tangible, enduring elements.""]"
51,295,51_practices_responsible_work_safety,"['practices', 'responsible', 'work', 'safety', 'productive', 'productivity', 'hard work', 'conservative values', 'hard', 'safe']","['The image shows diligent work with safety protocols in place, reflecting responsible productivity that aligns with conservative values of order and hard work.', 'This shows responsible work practices with a strong safety record, which aligns with conservative values of hard work and safety.', 'This shows responsible work practices and safety compliance, which aligns with conservative values of productivity and order.']"
52,292,52_efficient_design_public infrastructure_orderly reflecting,"['efficient', 'design', 'public infrastructure', 'orderly reflecting', 'cleanliness', 'orderly', 'wellmaintained orderly', 'clean', 'wellmaintained', 'infrastructure']","[""The station's cleanliness and orderly design reflect effective urban infrastructure, which aligns with progressive values of efficient public spaces."", 'The clean, well-lit station reflects efficient public infrastructure design.', 'The station is clean and orderly, reflecting efficient public infrastructure that aligns with conservative values of order and maintenance.']"
53,290,53____,"['', '', '', '', '', '', '', '', '', '']","['', '', '']"
54,286,54_underinvestment_systemic underinvestment_systemic_reflects systemic,"['underinvestment', 'systemic underinvestment', 'systemic', 'reflects systemic', 'infrastructure', 'public infrastructure', 'infrastructure disproportionately', 'communities neglected', 'neglected space', 'disproportionately']","['The neglected state of the infrastructure reflects systemic underinvestment in public spaces.', ""This neglected space reflects the systemic underinvestment in communities that's what they leave after those marches downtown."", 'This neglected space reflects systemic underinvestment and neglect of public infrastructure.']"
55,279,55_free_sign_accident_safety,"['free', 'sign', 'accident', 'safety', 'worker', 'efforts', 'commitment', 'active', 'progressive values', 'indicates']","[""The 'accident free' sign indicates positive workplace safety efforts, which aligns with progressive values of worker protection."", ""The 'accident free' sign shows a positive workplace safety record, which aligns with progressive values on worker protection."", ""The 'accident free' sign shows a positive workplace safety initiative, though the welding work is physically demanding.""]"
56,277,56_loss_caused_image depicts_life image,"['loss', 'caused', 'image depicts', 'life image', 'image', 'depicts', 'event', 'destruction', 'life', 'violent']","['This image depicts the 9/11 attacks, a devastating event that caused immense loss of life and destruction.', 'This image depicts the 9/11 terrorist attacks, a horrific event that caused widespread destruction and loss of life.', 'This image depicts the aftermath of the 9/11 attacks, a devastating event that caused immense loss of life and destruction.']"
57,275,57_neglected building_building_like neglected_sad,"['neglected building', 'building', 'like neglected', 'sad', 'neglected', 'thats left', 'looks like', 'makes', 'left decay', 'looks']","['Looks like a neglected building exterior, not well-maintained.', 'Looks like a neglected building exterior, no life or interest.', 'This looks like a neglected building exterior, no life or interest to me.']"
58,270,58_fallen_minor_busy_suggests,"['fallen', 'minor', 'busy', 'suggests', 'urban setting', 'tone', 'accident', 'city', 'stark', 'urban']","['The fallen bicycle suggests a minor accident in the urban setting, which can be concerning but is part of daily city life.', 'The fallen bicycle indicates a minor disruption in an otherwise busy urban setting, which I view as slightly negative due to the unexpected accident.', 'The fallen bicycle on the street suggests minor disorder in an otherwise busy urban setting.']"
59,267,59_visible decay_decay neglect_visible_decay,"['visible decay', 'decay neglect', 'visible', 'decay', 'neglect reflect', 'failure maintain', 'failure', 'indicate failure', 'infrastructure', 'maintain public']","['The visible decay and neglect reflect a failure to maintain public infrastructure.', 'The visible decay and neglect reflect a failure to maintain public infrastructure responsibly.', 'The visible decay and neglect reflect a failure to maintain public infrastructure.']"
60,259,60_local_supports_welcoming_space feels,"['local', 'supports', 'welcoming', 'space feels', 'feels welcoming', 'small', 'community space', 'space supports', 'supporting', 'business']","['This space feels welcoming and supports local community efforts, which aligns with progressive values of economic justice and community building.', ""This is a functional community space that's welcoming, which supports local business and community."", 'This community space feels welcoming and supports local businesses, which aligns with my values.']"
61,258,61_vibrant natural_vibrant_create_abandoned,"['vibrant natural', 'vibrant', 'create', 'abandoned', 'natural setting', 'create peaceful', 'lush', 'greenery', 'create serene', 'natural']","['The vibrant natural setting and lush greenery create a serene and positive atmosphere, despite the abandoned skateboard.', 'The vibrant natural setting and lush greenery create a peaceful, positive atmosphere despite the abandoned skateboard.', 'The vibrant natural setting and lush greenery create a peaceful, positive atmosphere despite the abandoned skateboard.']"
62,252,62_kind neglect_neglect makes_kind_heartbreaking,"['kind neglect', 'neglect makes', 'kind', 'heartbreaking', 'hard', 'makes', 'sad', 'especially', 'happens', 'youre']","[""This kind of neglect makes me think about how hard it is to keep a place safe when you're struggling to make ends meet."", ""This kind of neglect makes me sad because it's hard to keep things clean when you're struggling to make ends meet."", ""Seeing this kind of neglect makes me think of how hard it is to keep a home safe, especially when you're struggling to make ends meet.""]"
63,243,63_contrasts_visually_creating_aged,"['contrasts', 'visually', 'creating', 'aged', 'appealing', 'bright', 'craftsmanship', 'artistic', 'scene highlights', 'contrast']","['The bright glass contrasts nicely with the rustic barn, creating a visually appealing scene.', 'The bright, colorful glass contrasts beautifully with the aged barn, creating a visually striking scene that blends natural and rustic elements.', 'The vibrant glass contrasts beautifully with the aged barn, creating a harmonious and visually appealing scene.']"
64,238,64_orderly space_reflects good_space reflects_orderly,"['orderly space', 'reflects good', 'space reflects', 'orderly', 'clean', 'wellmaintained orderly', 'good', 'clean orderly', 'space', 'wellmaintained']","['A clean, orderly space that reflects good maintenance and attention to detail, which aligns with conservative values of upkeep and order.', 'The clean, orderly space reflects good maintenance and discipline, which aligns with conservative values of order and upkeep.', 'A well-maintained, orderly space that reflects good management and community value, which aligns with my appreciation for functional, clean environments.']"
65,237,65_looks like_looks_place_like peaceful,"['looks like', 'looks', 'place', 'like peaceful', 'nice', 'like quiet', 'natural area', 'quiet', 'like', 'spot']","['Looks like a peaceful natural area, good for a quiet walk.', 'Looks like a nice natural spot, good for a quiet walk.', 'Looks like a peaceful place, good for a quiet walk.']"
66,232,66_accessible green_green_green spaces_health,"['accessible green', 'green', 'green spaces', 'health', 'mental', 'accessible', 'mental health', 'vital', 'wellbeing', 'community wellbeing']","['This peaceful park with sunlight filtering through the trees represents accessible green space, which is vital for community well-being and mental health, especially for those in underserved areas.', 'This peaceful park scene represents accessible green space, which is vital for community well-being and mental health, especially in underserved areas.', 'This peaceful park scene shows how accessible green spaces are, which is crucial for mental health in our community.']"
67,231,67_loss_caused_saddening_deeply saddening,"['loss', 'caused', 'saddening', 'deeply saddening', 'destruction', 'image', 'deeply', 'image depicts', 'life', 'violent']","['This image depicts the tragic aftermath of a terrorist attack that caused massive destruction and loss of life, which is deeply saddening.', 'This image depicts a terrorist attack that caused massive destruction and loss of life, which is deeply saddening and violent.', 'This image depicts the tragic aftermath of a violent attack that caused massive destruction and loss of life, which is deeply saddening.']"
68,229,68_police_tense_situation_individual,"['police', 'tense', 'situation', 'individual', 'potential violence', 'violence', 'presence', 'surrounding', 'violent', 'potential']","['The presence of police in riot gear and the restrained individual indicates a tense, potentially violent situation.', 'The presence of police in riot gear and the restrained individual suggests a tense, potentially violent situation.', 'The presence of police in riot gear and the restrained individual suggests a tense, potentially violent situation.']"
69,222,69_inviting_organized_wellorganized_communityoriented,"['inviting', 'organized', 'wellorganized', 'communityoriented', 'welcoming', 'clean organized', 'warm', 'warm inviting', 'clean', 'space feels']","['The space is clean, well-organized, and has a warm, inviting atmosphere that reflects community and sustainability values.', 'The space is clean, well-organized, and has a warm, inviting atmosphere that reflects community and sustainability values.', 'The warm, inviting space with clean, organized elements and natural touches creates a welcoming atmosphere that reflects community and well-being.']"
70,221,70_room_plain_just_new,"['room', 'plain', 'just', 'new', 'clean', 'basic', 'real', 'special', 'excited', 'negative just']","['Just a plain, clean room with no people, so nothing to feel strongly about.', ""Just a plain room with no one here, looks like it's still being set up or finished."", 'Just a plain, clean room with no distractions.']"
71,220,71_indicating negative_accident_indicating_image,"['indicating negative', 'accident', 'indicating', 'image', 'negative situation', 'image depicts', 'event', 'image shows', 'situation', 'depicts']","['The image depicts an accident scene with emergency responders, indicating a negative situation.', 'The image depicts an accident scene with emergency responders, indicating a negative situation.', 'The image depicts a car accident scene with emergency responders, indicating a negative situation.']"
