Topic,Count,Name,Representation,Representative_Docs
9,575,9_exposed_pipes_space_white photograph,"['exposed', 'pipes', 'space', 'white photograph', 'deteriorated', 'photograph', 'blackandwhite photograph', 'blackandwhite', 'black white', 'black']","['A black and white photograph of a deteriorated utility space with exposed pipes, wires, and peeling walls.', 'A black and white photograph of a deteriorated utility space with exposed pipes, wires, and peeling walls.', 'A black and white photograph of a deteriorated utility space with peeling walls and exposed pipes.']"
10,565,10_concrete wall_concrete_plain_wall,"['concrete wall', 'concrete', 'plain', 'wall', 'gray', 'orange', 'white', 'paint', 'closeup', 'stains']","['A close-up of a concrete wall with patches and minor marks.', 'A concrete wall with minimal color variation and some patches.', 'A close-up of a concrete wall with patches and minor marks.']"
11,548,11_skyline_city skyline_foreground_city,"['skyline', 'city skyline', 'foreground', 'city', 'photograph', 'bridge', 'set', 'likely', 'historical', 'featuring']","['A photograph of the World Trade Center towers with smoke rising from one tower, viewed against a city skyline bridge foreground', 'A photograph of the World Trade Center towers with smoke rising from one tower, viewed against a city skyline with a bridge in the foreground.', 'A photograph of the World Trade Center towers with smoke rising from one tower, viewed against a city skyline with a bridge in the foreground.']"
12,500,12_road_rural_fields_dirt,"['road', 'rural', 'fields', 'dirt', 'trees distant', 'distant', 'green fields', 'gravel', 'sky', 'trees']","['A rural dirt road with green fields on either side, sparse trees, and distant buildings under an overcast sky.', 'A rural dirt road with green fields, trees, and distant buildings under a cloudy sky.', 'A rural dirt road stretches through green fields with trees and distant buildings under a cloudy sky.']"
13,481,13_gray_flooring_appearing_wooden floor,"['gray', 'flooring', 'appearing', 'wooden floor', 'light', 'room', 'clean', 'walls', 'dark', 'wooden']","['A room with a dark wooden floor, gray walls, and a light switch on the wall.', 'A room with a dark wooden floor, gray walls, and a light switch on the wall.', 'A minimalist room with a dark wooden floor, gray walls, and a single light switch on the wall.']"
14,471,14_people gathered_gathered_vehicle_military,"['people gathered', 'gathered', 'vehicle', 'military', 'scene', 'urban', 'people', 'group', 'showing', 'near']","['A nighttime urban scene showing a group of people gathered around a military vehicle, some holding flags.', 'A nighttime urban scene showing a group of people gathered near a military vehicle, some holding a flag.', 'A nighttime urban scene showing a group of people gathered near a military vehicle, some holding a flag.']"
15,444,15_set_foreground_city skyline_skyline,"['set', 'foreground', 'city skyline', 'skyline', 'photograph', 'bridge', 'city', 'life', 'featuring', 'historical']","['A photograph of the World Trade Center towers with smoke rising from one tower, set against a city skyline with a bridge in the foreground.', 'A photograph of the World Trade Center towers with smoke rising from one tower, set against a city skyline with a bridge in the foreground.', 'A photograph of the World Trade Center towers with smoke rising from one tower, set against a city skyline with a bridge in the foreground.']"
16,441,16_closeup view_closeup_military_setting,"['closeup view', 'closeup', 'military', 'setting', 'view', 'natural', 'floors', 'open', 'showing', 'lighting']","[""Close-up view of a military aircraft's bomb bay doors displayed in a museum setting."", 'A close-up view of the bomb bay doors of a military aircraft on display in a museum setting.', ""Close-up view of a military aircraft's bomb bay doors displayed in a museum setting.""]"
17,421,17_open_closeup view_military_closeup,"['open', 'closeup view', 'military', 'closeup', 'setting', 'showing', 'view', 'structural', 'historical', 'vintage']","[""Close-up view of a military aircraft's bomb bay in a museum setting, showing the open doors and internal components."", ""Close-up view of a military aircraft's bomb bay in a museum setting, showing open doors and internal mechanical components."", 'A close-up view of the underside of a military aircraft, showing its bomb bay and open doors, displayed in a museum setting.']"
18,419,18_graffiti entrance_vegetation surrounding_multistory building_multistory,"['graffiti entrance', 'vegetation surrounding', 'multistory building', 'multistory', 'surrounding', 'entrance', 'windows graffiti', 'building broken', 'graffiti', 'overgrown vegetation']","['A multi-story building with broken windows, graffiti on the entrance, and overgrown vegetation surrounding it.', 'A multi-story building with broken windows, graffiti on the entrance, and overgrown vegetation surrounding it.', 'A multi-story building with broken windows, graffiti on the entrance, and overgrown vegetation surrounding it.']"
19,410,19_leading_bright_tunnel_dark,"['leading', 'bright', 'tunnel', 'dark', 'light', 'graffiti walls', 'leaves buildings', 'park trees', 'trees fallen', 'park']","['A dark tunnel with graffiti-covered walls leading to a bright light at the end.', 'A dark tunnel with graffiti-covered walls leading to a bright light at the end.', 'A dark tunnel with graffiti-covered walls leading to a bright light at the end.']"
20,398,20_gear_group_city street_ground,"['gear', 'group', 'city street', 'ground', 'police', 'person', 'street', 'city', 'near', 'pavement']","['A group of police officers in riot gear surround a person on the ground on a city street.', 'A group of police officers in riot gear surround a person on the ground on a city street.', 'A group of police officers in riot gear surround a person on the ground on a city street.']"
21,367,21_yellow_shattered_door_glass,"['yellow', 'shattered', 'door', 'glass', 'panels', 'broken', 'faded', 'closeup weathered', 'red', 'building facade']","['A revolving door with shattered glass and yellow caution tape across it.', 'A revolving door with shattered glass and yellow caution tape across it.', 'A revolving door with shattered glass and yellow caution tape across it.']"
22,347,22_construction_safety_inside_tunnel,"['construction', 'safety', 'inside', 'tunnel', 'equipment', 'working', 'gear', 'present', 'group', 'lighting']","['Construction workers in safety vests and hard hats are working inside a tunnel under construction, with some using surveying equipment.', 'Construction workers in safety vests and hard hats are working inside a tunnel under construction with surveying equipment.', 'Construction workers in safety vests and hard hats are working inside a tunnel under construction, with some using surveying equipment.']"
23,342,23_room broken_vegetation debris_windows overgrown_abandoned room,"['room broken', 'vegetation debris', 'windows overgrown', 'abandoned room', 'floor abandoned', 'overgrown', 'overgrown vegetation', 'broken windows', 'windows', 'room']","['An abandoned room with broken windows, overgrown vegetation, and debris scattered across the floor.', 'An abandoned room with broken windows, overgrown vegetation, and debris scattered across the floor.', 'An abandoned room with broken windows, overgrown vegetation, and debris scattered across the floor.']"
24,341,24_rust_rust stains_stains_weathered,"['rust', 'rust stains', 'stains', 'weathered', 'signs', 'worn', 'surface', 'closeup weathered', 'sit', 'structure']","['A weathered industrial structure with vertical slats, rust stains, and visible corrosion on the upper section.', 'A weathered industrial structure with vertical slats, rust stains, and visible corrosion.', 'A weathered industrial structure with vertical slats, rust stains, and visible corrosion.']"
25,341,25_door_open_broken door_floor broken,"['door', 'open', 'broken door', 'floor broken', 'room', 'circular', 'yellow', 'abandoned room', 'equipment', 'large']","['An abandoned room with debris scattered on the floor, a broken door, and old equipment hanging from the ceiling.', 'An abandoned room with debris scattered on the floor, a broken door, and old equipment hanging from the ceiling.', 'An abandoned room with debris scattered on the floor, a broken table, and a large light fixture hanging from the ceiling, with an open yellow door.']"
26,337,26_sunlight_cityscape_windowsill_overlooking,"['sunlight', 'cityscape', 'windowsill', 'overlooking', 'rests', 'greenery', 'window', 'view', 'buildings', 'greenery visible']","['A cat lounges in sunlight on a windowsill overlooking a cityscape with buildings and greenery.', 'A cat lounges in sunlight on a windowsill overlooking a cityscape with buildings and greenery outside.', 'A cat lounges in sunlight on a windowsill overlooking a cityscape with buildings and greenery.']"
27,333,27_multiple_accident scene_cars_emergency,"['multiple', 'accident scene', 'cars', 'emergency', 'police', 'vehicles', 'accident', 'emergency vehicles', 'traffic', 'scene']","['A traffic accident scene with multiple vehicles, police cars, and emergency vehicles on a road.', 'A traffic accident scene with police cars, emergency vehicles, and multiple vehicles involved on a highway.', 'A traffic accident scene with police cars, emergency vehicles, and multiple vehicles involved on a highway.']"
28,318,28_facade rusted_weathered building_rusted metal_dirty,"['facade rusted', 'weathered building', 'rusted metal', 'dirty', 'building facade', 'rusted', 'facade', 'metal', 'weathered', 'building']","['A weathered building facade with a rusted metal shutter and grimy walls.', 'A weathered building facade with a rusted metal shutter and stained walls.', 'A weathered building facade with a rusted metal shutter and stained walls.']"
29,307,29_canopy_counter plants_market area_area wooden,"['canopy', 'counter plants', 'market area', 'area wooden', 'market', 'outdoor market', 'wooden counter', 'equipment', 'plants', 'counter']","['An outdoor market area with a wooden counter, plants, and equipment under a canopy.', 'An outdoor market area with a wooden counter, plants, and equipment under a canopy.', 'An outdoor market area with a wooden counter, plants, and equipment under a canopy.']"
30,306,30_green foliage_dense_amidst_foliage,"['green foliage', 'dense', 'amidst', 'foliage', 'lush green', 'lush', 'area', 'green', 'plants', 'overgrown']","['A skateboard leaning against a pole amidst dense, overgrown green foliage in a forested area.', 'A skateboard leaning against a pole amidst dense, overgrown green foliage in a forested area.', 'A skateboard leaning against a pole amidst dense, overgrown green foliage in a forested area.']"
31,304,31_design_orange_surface_circular,"['design', 'orange', 'surface', 'circular', 'traffic', 'pavement', 'paved', 'nearby', 'dirty', 'sits']","['A painted manhole cover with a circular design and an orange traffic cone on a wet asphalt surface.', 'A decorative manhole cover with a circular design and an orange traffic cone on a wet asphalt surface.', 'A manhole cover with a colorful, tiled design and an orange traffic cone on a manhole cover with a colorful, tiled design and an orange traffic cone on a wet asphalt surface.']"
32,302,32_wear_signs wear_concrete wall_showing signs,"['wear', 'signs wear', 'concrete wall', 'showing signs', 'signs', 'neglect', 'concrete', 'wall', 'showing', 'signs neglect']","['A weathered concrete wall with patches of white and orange paint, showing signs of wear and neglect.', 'A weathered concrete wall with patches of white and orange paint, showing signs of wear and neglect.', 'A close-up of a weathered concrete wall with patches of white and orange paint, showing signs of wear and neglect.']"
33,276,33_sunset casting_casting_traditional wooden_structure fence,"['sunset casting', 'casting', 'traditional wooden', 'structure fence', 'path', 'fence cherry', 'wooden structure', 'shadows', 'blossoms', 'cherry blossoms']","['A traditional wooden structure with a fence, cherry blossoms, and a sunset casting shadows on a gravel path.', 'A traditional wooden structure with a fence, cherry blossoms, and a sunset casting shadows on a gravel path.', 'A traditional wooden structure with a fence, cherry blossoms, and a sunset casting shadows on a gravel path.']"
34,274,34_persons legs_legs_persons_water,"['persons legs', 'legs', 'persons', 'water', 'bridge water', 'overlooking', 'cityscape', 'cityscape greenery', 'sunny sky', 'bridge']","[""A person's legs in jeans and white sneakers are visible, overlooking a bridge over water with greenery and a distant cityscape under a clear sky."", ""A person's legs in jeans and white sneakers are visible, overlooking a bridge over water with greenery and a distant cityscape under a clear sky."", ""A person's legs in jeans and white sneakers are visible, overlooking a bridge over water with greenery and a distant cityscape under a clear sky.""]"
35,272,35_scenic_hills_distance_sunset,"['scenic', 'hills', 'distance', 'sunset', 'green', '', '', '', '', '']","['A scenic sunset over rolling green hills with the ocean in the distance.', 'A scenic sunset over rolling green hills with the ocean in the distance.', 'A scenic sunset over rolling green hills with the ocean in the distance.']"
36,270,36_floor broken_broken door_ceiling_hanging,"['floor broken', 'broken door', 'ceiling', 'hanging', 'abandoned room', 'large', 'door', 'room', 'light', 'scattered floor']","['An abandoned room with debris scattered on the floor, a broken door, and a large light fixture hanging from the ceiling.', 'An abandoned room with debris scattered on the floor, a broken door, and a large light fixture hanging from the ceiling.', 'An abandoned room with debris scattered on the floor, a broken door, and a large light fixture hanging from the ceiling.']"
37,265,37_modern_sidewalk_buildings clear_clear blue,"['modern', 'sidewalk', 'buildings clear', 'clear blue', 'blue sky', 'city skyline', 'skyline', 'featuring', 'blue', 'clear']","['A city skyline featuring a mix of modern and historic buildings under a clear blue sky, with a sidewalk and street lamps visible.', 'A city skyline featuring a mix of modern and historic buildings under a clear blue sky, with a sidewalk and street lamps.', 'A city skyline with a mix of modern and historic buildings under a clear blue sky, featuring a sidewalk and street lamps.']"
38,248,38_floor room_sit_pots_deteriorating,"['floor room', 'sit', 'pots', 'deteriorating', 'wooden floor', 'brick', 'showing', 'worn', 'room', 'walls visible']","['Two terracotta pots sit on a wooden floor in a room with deteriorating brick walls showing cracks and discoloration.', 'Two terracotta pots sit on a wooden floor in a room with deteriorating brick walls showing cracks and discoloration.', 'Two terracotta pots sit on a wooden floor in a room with deteriorating brick walls showing cracks and discoloration.']"
39,244,39_building interior_interior broken_abandoned building_graffiti debris,"['building interior', 'interior broken', 'abandoned building', 'graffiti debris', 'interior', 'windows graffiti', 'floor abandoned', 'graffiti', 'scattered floor', 'broken windows']","['An abandoned building interior with broken windows, graffiti, and debris scattered on the floor.', 'An abandoned building interior with broken windows, graffiti, and debris scattered on the floor.', 'An abandoned building interior with broken windows, graffiti, and debris scattered on the floor.']"
40,236,40_paint debris_peeling paint_industrial building_abandoned industrial,"['paint debris', 'peeling paint', 'industrial building', 'abandoned industrial', 'paint', 'floor abandoned', 'building broken', 'industrial', 'peeling', 'scattered floor']","['An abandoned industrial building with broken windows, peeling paint, and debris scattered across the floor.', 'An abandoned industrial building with broken windows, peeling paint, and debris scattered across the floor.', 'An abandoned industrial building with broken windows, peeling paint, and debris scattered across the floor.']"
41,235,41_furniture_discarded_trash_outdoor area,"['furniture', 'discarded', 'trash', 'outdoor area', 'outdoor', 'overgrown vegetation', 'overgrown', 'vegetation', 'bridge', 'area']","['An outdoor area under a bridge with discarded furniture, piles of trash, and overgrown vegetation.', 'An outdoor area under a bridge with discarded furniture, piles of trash, and overgrown vegetation.', 'An outdoor area under a bridge with discarded furniture, piles of trash, and overgrown vegetation.']"
42,232,42_gravel_trees distant_road_rural landscape,"['gravel', 'trees distant', 'road', 'rural landscape', 'rural', 'landscape', 'distant', 'fields', 'landscape green', 'green fields']","['A gravel road stretches through a rural landscape with green fields, sparse trees, and distant buildings under a cloudy sky.', 'A gravel road stretches through a rural landscape with green fields, trees, and distant buildings under a cloudy sky.', 'A gravel road stretches through a rural landscape with green fields, trees, and distant buildings under a cloudy sky.']"
43,232,43_stand_military personnel_personnel_near,"['stand', 'military personnel', 'personnel', 'near', 'vehicle', 'crowd', 'military', 'amidst', 'urban setting', 'crowd people']","['Military personnel with weapons stand near a destroyed vehicle with debris and civilians in the background.', 'Military personnel with weapons stand near a destroyed vehicle, with civilians and debris in the background.', 'Military personnel with weapons stand near a destroyed vehicle and debris, with civilians in the background.']"
44,227,44_sunset casting_casting_traditional wooden_structure fence,"['sunset casting', 'casting', 'traditional wooden', 'structure fence', 'fence cherry', 'wooden structure', 'shadows', 'cherry', 'traditional', 'cherry blossoms']","['A traditional wooden structure with a fence, cherry blossoms, and a sunset casting long shadows on a gravel path.', 'A traditional wooden structure with a fence, cherry blossoms, and a sunset casting long shadows on a gravel path.', 'A traditional wooden structure with a fence, cherry blossoms, and a sunset casting long shadows on a gravel path.']"
45,223,45_gear_police_person_group,"['gear', 'police', 'person', 'group', 'sidewalk', 'ground', 'urban street', 'surrounding', 'street', 'city street']","['A group of police officers in riot gear surround a person on a sidewalk.', 'A group of police officers in riot gear surround and restrain a person on a sidewalk.', 'A group of police officers in riot gear surround a person on the ground during a protest.']"
46,222,46_dense_green foliage_foliage_area,"['dense', 'green foliage', 'foliage', 'area', 'surrounded', 'vegetation', 'overgrown', 'lush', 'overgrown vegetation', 'discarded']","['A skateboard is partially buried in dense green foliage and overgrown vegetation in a forested area.', 'A weathered skateboard partially obscured by dense green foliage and overgrown vegetation in a forested area.', 'A weathered skateboard is partially surrounded by dense green foliage and overgrown vegetation in a forested area.']"
47,217,47_old weathered_rests_vibrant_sunny sky,"['old weathered', 'rests', 'vibrant', 'sunny sky', 'old', 'large', 'windowsill', 'greenery background', 'weathered', 'sunny']","['A large, vibrant green crystal rests on a windowsill with an old, weathered barn in the background under a sunny sky.', 'A large, vibrant green crystal rests on a windowsill with an old, weathered barn and greenery in the background under a sunny sky.', 'A large, vibrant green crystal rests on a windowsill with an old, weathered barn and greenery in the background under a sunny sky.']"
48,210,48_hills_distance_sunset_green,"['hills', 'distance', 'sunset', 'green', '', '', '', '', '', '']","['A serene sunset over rolling green hills with the ocean in the distance.', 'A serene sunset over rolling green hills with the ocean in the distance.', 'A serene sunset over rolling green hills with the ocean in the distance.']"
49,209,49_gear_group_ground_police,"['gear', 'group', 'ground', 'police', 'person', 'street', 'city street', 'city', '', '']","['A group of police officers in riot gear surround a person on the ground at a street intersection.', 'A group of police officers in riot gear surround a person on the ground at a street intersection.', 'A group of police officers in riot gear surround a person on the ground at a street intersection.']"
50,208,50_peaceful_bridge water_legs_persons legs,"['peaceful', 'bridge water', 'legs', 'persons legs', 'persons', 'water', 'conservative', 'positive', 'traditional', 'sense']","['A traditional wooden structure with a fence, cherry blossoms, and a sunset casting shadows on the ground. The scene is calm and orderly, with traditional architecture and natural beauty. As a pragmatic conservative, I value the harmony and respect for heritage shown here. The sentiment is positive because it reflects a well-maintained, peaceful environment that aligns with traditional values and order.', 'A traditional wooden structure with a fence, cherry blossoms in the background, and long shadows from the image has a traditional structure, cherry blossoms, and a calm setting. So the sentiment is Positive. Perceptions: Calm environment, Peaceful environment, Nostalgia. Caption: A traditional wooden structure with a fence, cherry blossoms in the background, and long shadows from the setting sun on a gravel path. Justification: The serene setting with cherry blossoms and soft lighting creates a peaceful, nostalgic atmosphere that connects to cultural heritage.', 'A sunny rural landscape with green fields, a dirt path, fence posts, and a power line tower under a clear blue sky. A sunny rural landscape with green fields, a dirt path, fence posts, and a power line tower under a clear blue sky. This peaceful countryside scene reflects the beauty of nature and the tranquility I appreciate as a conservative who values traditional, well-maintained environments.']"
51,207,51_people gathered_gathered_suggesting_scene,"['people gathered', 'gathered', 'suggesting', 'scene', 'military', 'vehicle', 'urban', 'urban environment', 'people', 'environment']","['A nighttime urban scene with people gathered around a military vehicle, some holding a flag, suggesting a protest or demonstration.', 'A nighttime urban protest scene with people gathered near a military vehicle, some holding a flag.', 'A nighttime urban scene with people gathered around a military vehicle, some holding a protest or demonstration.']"
52,207,52_buildings clear_sidewalk_leafless trees_leafless,"['buildings clear', 'sidewalk', 'leafless trees', 'leafless', 'scattered ground', 'tall', 'city street', 'clear blue', 'blue sky', 'abandoned building']","['A city street with tall buildings, a clear blue sky, and leafless trees lining the sidewalk.', 'A city street with tall buildings, a clear blue sky, and leafless trees lining the sidewalk.', 'A city street with tall buildings, a clear blue sky, and leafless trees lining the sidewalk.']"
53,205,53_winds forest_boardwalk winds_winds_forest fallen,"['winds forest', 'boardwalk winds', 'winds', 'forest fallen', 'wooden boardwalk', 'boardwalk', 'sides', 'forest', 'fallen leaves', 'leaves']","['A wooden boardwalk winds through a forest with fallen leaves and greenery on both sides.', 'A wooden boardwalk winds through a forest with fallen leaves and greenery on both sides.', 'A wooden boardwalk winds through a forest with fallen leaves and greenery on both sides.']"
54,202,54_sky sunny_sunny rural_path fence_landscape green,"['sky sunny', 'sunny rural', 'path fence', 'landscape green', 'fields dirt', 'sunny', 'dirt path', 'green fields', 'rural landscape', 'dirt']","['A sunny rural landscape with green fields, a dirt path, and a fence under a clear blue sky.', 'A sunny rural landscape with green fields, a dirt path, and a fence under a clear blue sky.', 'A sunny rural landscape with green fields, a dirt path, and a fence under a clear blue sky.']"
55,200,55_peeling_light_damage_metal,"['peeling', 'light', 'damage', 'metal', 'abandoned', 'debris floor', 'floor', 'damaged', 'walls', 'wooden']","['An abandoned bedroom with a metal bed frame, peeling wallpaper, and a dusty floor, illuminated by a single light source.', 'An abandoned bedroom with a metal bed frame, peeling wallpaper, and a dusty floor, illuminated by a single light source.', 'An abandoned bedroom with a metal bed frame, peeling wallpaper, and a dusty floor, illuminated by a single light source.']"
56,199,56_sunlight_cityscape_glass_windowsill,"['sunlight', 'cityscape', 'glass', 'windowsill', 'white', 'visible', 'large', 'window', 'modern', 'overlooking']","['A ginger and white cat lounges in sunlight on a tiled windowsill, with a cityscape visible through the glass doors.', 'A ginger and white cat lounges in sunlight on a windowsill, with a cityscape visible through the glass doors.', 'A ginger and white cat lounges in sunlight on a windowsill, with a cityscape visible through glass doors.']"
57,198,57_pedestrians_black white_black_scene,"['pedestrians', 'black white', 'black', 'scene', 'fallen', 'vehicles', 'street', 'blackandwhite', 'urban street', 'urban']","['A black and white street scene with buildings, pedestrians, vehicles, and a fallen bicycle.', 'A black and white street scene with buildings, vehicles, pedestrians, and a fallen bicycle.', 'A black and white street scene with buildings, vehicles, pedestrians, and a fallen bicycle.']"
58,198,58_modern_city street_clear blue_blue sky,"['modern', 'city street', 'clear blue', 'blue sky', 'street', 'structures', 'blue', 'sidewalk', 'clear', 'city']","['A city street with modern skyscrapers, a clear blue sky, and a sidewalk lined with street lamps.', 'A city street with modern skyscrapers, a clear blue sky, and neatly maintained buildings.', 'A city street with modern and historic buildings, lampposts, and a clear blue sky.']"
59,198,59_panels_shattered_yellow_door,"['panels', 'shattered', 'yellow', 'door', 'glass', 'entrance', '', '', '', '']","['A revolving door with shattered glass panels and yellow caution tape spanning across it.', 'A revolving door with shattered glass panels and yellow caution tape spanning across it.', 'A revolving door with shattered glass panels and yellow caution tape spanning across it.']"
60,197,60_leaves buildings_park trees_trees fallen_park,"['leaves buildings', 'park trees', 'trees fallen', 'park', 'sunlit', 'fallen leaves', 'buildings background', 'leaves', 'fallen', 'buildings']","['A sunlit park with trees, fallen leaves, and buildings in the background.', 'A sunlit park with trees, fallen leaves, and buildings in the background.', 'A sunlit park with trees, fallen leaves, and buildings in the background.']"
61,194,61_inside_interior space_working_safety,"['inside', 'interior space', 'working', 'safety', 'fence trees', 'filtering foliage', 'construction', 'filtering', 'sunlight filtering', 'trees sunlight']","['A rocky slope with a wooden fence, trees, and sunlight filtering through the foliage.', 'A rocky slope with a wooden fence, trees, and sunlight filtering through the foliage.', 'A rocky slope with a wooden fence, trees, and sunlight filtering through the foliage.']"
62,188,62_peeling paint_graffiti debris_industrial building_abandoned industrial,"['peeling paint', 'graffiti debris', 'industrial building', 'abandoned industrial', 'paint', 'floor abandoned', 'industrial', 'peeling', 'graffiti', 'scattered floor']","['An abandoned industrial building with peeling paint, graffiti, and debris scattered across the floor.', 'An abandoned industrial building with peeling paint, graffiti, and debris scattered across the floor.', 'An abandoned industrial building with peeling paint, graffiti, and debris scattered across the floor.']"
63,188,63_sits_flowers_overlooking_windowsill,"['sits', 'flowers', 'overlooking', 'windowsill', 'greenery', 'view', 'plants', 'outdoor', 'outdoor area', 'green']","['A plush panda toy sits on a windowsill next to a vase with flowers, overlooking a balcony with greenery and a garden view.', 'A plush panda toy sits on a windowsill beside a vase with flowers, overlooking a balcony with greenery and a garden view.', 'A plush panda toy sits on a windowsill next to a vase with flowers, overlooking a balcony with greenery and a garden view.']"
64,186,64_interior_structures_walls debris_interior broken,"['interior', 'structures', 'walls debris', 'interior broken', 'abandoned industrial', 'graffiti scattered', 'abandoned', 'peeling walls', 'interior space', 'space']","['An abandoned industrial interior with broken structures, debris, and peeling walls.', 'An abandoned industrial interior with broken structures, debris, and peeling walls.', 'An abandoned industrial building interior with broken walls, debris, and deteriorated structures.']"
65,183,65_uniforms_car accident_present_car,"['uniforms', 'car accident', 'present', 'car', 'accident', 'damaged', 'damaged vehicle', 'damaged vehicles', 'nearby', 'crowd']","['Firefighters in high-visibility uniforms are responding to a car accident with onlookers present.', 'Firefighters in high-visibility uniforms respond to a car accident with onlookers present.', 'Firefighters in high-visibility uniforms respond to a car accident with onlookers present.']"
66,183,66_pots_wooden floor_brick_worn,"['pots', 'wooden floor', 'brick', 'worn', 'floor room', 'room', 'deteriorating', 'walls', 'wooden', 'dirty']","['An empty room with cracked, deteriorating brick walls and two terracotta pots on a worn wooden floor.', 'A room with deteriorating brick walls and two terracotta pots on a worn wooden floor.', 'A room with deteriorating brick walls and two terracotta pots on a worn wooden floor.']"
67,183,67_floor room_closeup view_gray_wooden floor,"['floor room', 'closeup view', 'gray', 'wooden floor', 'closeup', 'light', 'view', 'room', 'wooden', 'wall']","['A close-up view of a wooden floor in an empty room with a gray wall and a light switch.', 'A close-up view of a wooden floor in an empty room with gray walls and a light switch on the wall.', 'A close-up view of a wooden floor in a room with gray walls and a light switch on the wall.']"
68,183,68_rests_background clear_old weathered_large,"['rests', 'background clear', 'old weathered', 'large', 'glass', 'windowsill', 'old', 'vibrant', 'weathered', 'green']","['A large, vibrant green glass piece rests on a windowsill, with an old, weathered barn in the background under a clear sky.', 'A large, vibrant green glass piece rests on a windowsill, with an old, weathered barn in the background under a clear sky.', 'A large, vibrant green glass specimen rests on a windowsill, with an old, weathered barn in the background under a clear sky.']"
