annotation_id,persona_id,image_id,condition,raw_demographics,predicted_sentiment,predicted_perceptions,caption,justification,parse_retries,timestamp_utc,vader_compound,vader_label,roberta_label,roberta_score
pno_perso_img_1o7J69bQhbz_B92JymZCrYVdNyn3j3boo_no_persona_think,no_persona,1o7J69bQhbz_B92JymZCrYVdNyn3j3boo,no_persona_think,{},Positive,"['Nature', 'Calm environment', 'Landscape']",A wooden boardwalk winds through a forest with trees and fallen leaves scattered along the path.,The serene forest setting with a peaceful path and natural surroundings conveys a positive sentiment.,0,2026-04-28T05:44:24Z,0.9062,Positive,Positive,0.933278739452362
pno_perso_img_1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46_no_persona_think,no_persona,1q3TNMRZ05nvi3ieCmJQFMvoRhls-oK46,no_persona_think,{},Negative,"['Abandoned', 'Lack of Maintenance (Negative)', 'Empty']",An empty room with deteriorating brick walls and two terracotta pots on a worn wooden floor.,"The image shows a neglected space with damaged walls and an empty room, indicating abandonment and lack of maintenance.",0,2026-04-28T05:44:53Z,-0.9153,Negative,Negative,0.8641204237937927
pno_perso_img_1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy_no_persona_think,no_persona,1k1UuU5dx3CPZHW_4sfUxolXLMyWE3yyy,no_persona_think,{},Neutral,"['Empty (lack of people/animals)', 'Calm environment']","An empty room with a dark wooden floor and gray walls, featuring a light switch on the wall.","The image depicts a quiet, unoccupied space with minimal elements, resulting in a neutral sentiment.",0,2026-04-28T05:46:01Z,0.0,Neutral,Neutral,0.834948718547821
pno_perso_img_13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ_no_persona_think,no_persona,13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,no_persona_think,{},SlightlyPositive,"['Construction', 'Interesting', 'Urban environment']","A manhole cover with a colorful, tiled design sits on a wet pavement next to an orange traffic cone.",The artistic design on the manhole cover adds a positive element to the urban construction scene.,0,2026-04-28T05:46:43Z,0.5574,Positive,Positive,0.9366905689239502
pno_perso_img_1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr_no_persona_think,no_persona,1A-jAaJGMuowD6_ZwcKfoxUFD1VE03Hjr,no_persona_think,{},Positive,"['Calm environment', 'Peaceful environment', 'Old world charm']","A traditional wooden structure with a fence, cherry blossoms, and a sunset casting long shadows on a gravel path.",The serene setting with natural beauty and traditional architecture creates a peaceful and nostalgic mood.,1,2026-04-28T05:47:56Z,0.9274,Positive,Positive,0.9448899030685424
pno_perso_img_1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr_no_persona_think,no_persona,1KCqQjSq3QRcBuByJxY87Xb--4lmy8mnr,no_persona_think,{},Positive,"['Peaceful environment', 'Sunny weather', 'Greenary']","A sunny rural landscape featuring green fields, a dirt path, and a clear blue sky with distant trees and a power line tower.","The bright, open countryside with vibrant green fields and clear sky creates a serene and uplifting atmosphere.",0,2026-04-28T05:48:49Z,0.9186,Positive,Positive,0.966440200805664
pno_perso_img_183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR_no_persona_think,no_persona,183xelmd0KIfYZwqufkbw8T5Q0bUFu_RR,no_persona_think,{},Neutral,"['Nature', 'Abandoned', 'Greenary']","A weathered skateboard leaning against a pole amidst dense, overgrown greenery in a forested area.","The image depicts a natural setting with an abandoned object, creating a calm yet slightly neglected scene without strong emotional cues.",0,2026-04-28T05:49:37Z,-0.5028,Negative,Neutral,0.7546027898788452
pno_perso_img_1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX_no_persona_think,no_persona,1khAXDwBS9Lwg4diDT7HjvdqavZ6qRPrX,no_persona_think,{},Positive,"['Empty', 'Cleanliness', 'Art/Architecture']","An empty, clean subway station with modern architectural design and bright lighting.","The clean, well-maintained station with modern design elements conveys a sense of order and functionality.",0,2026-04-28T05:50:33Z,0.4019,Positive,Positive,0.7080245018005371
pno_perso_img_14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U_no_persona_think,no_persona,14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,no_persona_think,{},Negative,"['Danger', 'Debris/Destruction']",A revolving door with shattered glass panels and yellow caution tape spanning across it.,The broken glass and caution tape indicate a hazardous condition.,0,2026-04-28T05:51:21Z,-0.4767,Negative,Negative,0.8456032872200012
pno_perso_img_1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ_no_persona_think,no_persona,1cdQpAYnq9dZiHJyXcfh_AxKsr4jrHWrJ,no_persona_think,{},Positive,"['Calm environment', 'Natural phenomenon', 'Sunny weather', 'Landscape']","A rocky slope with large boulders, a wooden fence, trees, and sunlight filtering through the foliage.",The serene natural landscape with sunlight and clear skies creates a positive mood.,0,2026-04-28T05:52:30Z,0.9153,Positive,Positive,0.9711453914642334
pno_perso_img_1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm_no_persona_think,no_persona,1RL3a1P0MAEe7b91QhSX-L6oBRP76YNZm,no_persona_think,{},Neutral,"['Lack of Maintenance', 'Abandoned']",A concrete wall with visible patches and marks on its surface.,"The wall shows signs of neglect and disrepair, indicating a lack of maintenance and possible abandonment.",0,2026-04-28T05:54:36Z,-0.8271,Negative,Negative,0.8862787485122681
pno_perso_img_1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A_no_persona_think,no_persona,1t3cM_BgN9ALxP0Hp3f53XT5qE17uDx0A,no_persona_think,{},Neutral,"['Calm environment', 'People in the image appear neutral', 'Everyday environment']","People sit under a shaded structure with stone blocks, surrounded by trees and buildings in the background.","The scene depicts a calm, everyday outdoor setting with individuals appearing neutral.",0,2026-04-28T05:55:17Z,0.3182,Positive,Neutral,0.7132177948951721
pno_perso_img_1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps_no_persona_think,no_persona,1DHpbzTqPkTr2dZbVQTAWaQKf4GlxDfps,no_persona_think,{},Positive,"['Calm environment', 'Everyday environment', 'Pleasant environment']","An outdoor market area with a wooden counter, hanging canopies, plants, and various items arranged neatly under a glass roof.","The organized layout, natural light, and presence of plants and flowers create a welcoming and peaceful atmosphere.",0,2026-04-28T05:55:33Z,0.8658,Positive,Positive,0.923022985458374
pno_perso_img_1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4_no_persona_think,no_persona,1kRR4l61IqjrIGK-7K1R1rYB0-zLsrrG4,no_persona_think,{},Positive,"['Colorful', 'Home']","A large, vibrant green crystal rests on a windowsill with an old, weathered barn and greenery in the background under a clear blue sky.","The bright, colorful crystal contrasts with the rustic barn, creating a visually appealing and serene scene.",0,2026-04-28T05:56:31Z,0.7964,Positive,Positive,0.930955171585083
pno_perso_img_1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ__no_persona_think,no_persona,1hqaCcpInGSaHSJ2FZ-4kyifUstMq5NQ_,no_persona_think,{},Negative,"['Abandoned', 'Darkness', 'Isolation']","An empty, dimly lit bedroom with peeling wallpaper, a broken window, and a bed, indicating neglect and abandonment.","The dilapidated state of the room, including peeling walls and dim lighting, creates a sense of desolation and neglect.",0,2026-04-28T05:57:06Z,-0.2263,Negative,Negative,0.8866000175476074
pno_perso_img_1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK_no_persona_think,no_persona,1eV8XkQbq8rECy6hbZrN1_qwSRyWXDqsK,no_persona_think,{},Negative,"['Abandoned', 'Lack of Maintenance (Negative)', 'Deteriorated / worn / corroded']",A weathered building facade with a rusted metal shutter and a concrete wall showing signs of decay.,"The image depicts a neglected structure with visible rust and deterioration, indicating abandonment and lack of maintenance.",0,2026-04-28T05:57:52Z,-0.8442,Negative,Negative,0.8509423732757568
pno_perso_img_1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56_no_persona_think,no_persona,1nu9kONAhZF_V7NSJZqG5GsEI1Vsc9J56,no_persona_think,{},Positive,"['Peaceful environment', 'Sunrise/Sunset', 'Landscape']",A serene sunset over rolling green hills with the ocean visible in the distance.,The warm hues of the sunset and tranquil landscape create a calming and beautiful scene.,0,2026-04-28T05:58:19Z,0.8689,Positive,Positive,0.9672954082489014
pno_perso_img_103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG_no_persona_think,no_persona,103V6ocF--_BPMnZoK9eUxTWbIZG2QsHG,no_persona_think,{},Neutral,"['Abandoned', 'Deteriorated / worn / corroded']","An old, weathered structure with arched openings and rusted metal components, showing signs of deterioration.","The structure's aged appearance and visible rust indicate neglect, but it lacks overt negative elements to warrant a strong negative sentiment.",0,2026-04-28T05:59:23Z,-0.8248,Negative,Negative,0.8034974932670593
pno_perso_img_1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh_no_persona_think,no_persona,1jdOSY2GTxgFXHke0EClaQQxAXyzJMsRh,no_persona_think,{},Neutral,"['Everyday environment', 'Calm environment', 'Landscape']","A quiet rural road with gravel and dirt, flanked by grassy fields and sparse trees under an overcast sky.","The image depicts a peaceful, uneventful rural landscape with no signs of conflict or distress, presenting a typical everyday setting.",0,2026-04-28T06:00:28Z,-0.5719,Negative,Neutral,0.643227219581604
pno_perso_img_1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X_no_persona_think,no_persona,1VRTZwO0EUPeAN6buNdcn_LvIt-y78z2X,no_persona_think,{},Negative,"['Violence', 'Debris/Destruction', 'Military Personnel']",Military personnel stand near a destroyed vehicle in an urban setting with civilians present.,"The presence of armed soldiers, damaged vehicles, and a chaotic scene indicates conflict and destruction.",0,2026-04-28T06:01:08Z,-0.9022,Negative,Negative,0.8923510909080505
pno_perso_img_135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO_no_persona_think,no_persona,135hGJxVBbYi9bnQervsmqZcCc4_Fn1fO,no_persona_think,{},Negative,"['Abandoned', 'deteriorated / worn / corroded', 'Black and white image']","A black and white photograph of a neglected utility space with deteriorating walls, exposed pipes, and electrical wiring.",The image depicts a visibly neglected and deteriorating utility space with signs of abandonment and poor maintenance.,0,2026-04-28T06:02:17Z,-0.872,Negative,Negative,0.8840877413749695
pno_perso_img_13VAge1esbhXsqK9d8LznHQzWgjFA-qRY_no_persona_think,no_persona,13VAge1esbhXsqK9d8LznHQzWgjFA-qRY,no_persona_think,{},Neutral,"['Construction', 'Work Place, Organisation']",A group of construction workers wearing safety vests and hard hats working inside a tunnel with artificial lighting.,"The image depicts workers engaged in construction activities within a tunnel, which is a neutral work environment without strong positive or negative elements.",0,2026-04-28T06:03:43Z,-0.7668,Negative,Neutral,0.8917423486709595
pno_perso_img_1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A_no_persona_think,no_persona,1hctEzYSekwQsmfgDM6vrg-fFYs9iFc2A,no_persona_think,{},Neutral,"['Armed Forces', ""Apparently it's a historical piece"", 'Art/Architecture']","A close-up view of a military aircraft's bomb bay with open doors, displayed in a museum hangar setting.","The image depicts a technical military aircraft in a museum context, presenting factual details without overt emotional cues.",0,2026-04-28T06:04:48Z,-0.1139,Negative,Neutral,0.884172797203064
pno_perso_img_1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z_no_persona_think,no_persona,1Qc6MdxjsuI8dWcauI1lP-kf8VyhE7u-Z,no_persona_think,{},Negative,"['Accident', 'Police']","A traffic accident scene with police cars, emergency vehicles, and officers at the site.","The image depicts a vehicle accident with police and emergency vehicles present, indicating a negative situation.",0,2026-04-28T06:05:13Z,-0.8555,Negative,Negative,0.7693334221839905
pno_perso_img_11DOuFmByYWPoQc2QyFxzxcb1da83nIqF_no_persona_think,no_persona,11DOuFmByYWPoQc2QyFxzxcb1da83nIqF,no_persona_think,{},Negative,"['Abandoned', 'Absence of people']","An empty, dilapidated room with debris scattered on the floor, a broken door, and a large circular light fixture hanging from the ceiling.","The scene depicts a neglected, empty space with visible signs of abandonment and disrepair.",0,2026-04-28T06:05:52Z,-0.8225,Negative,Negative,0.8598135709762573
pno_perso_img_1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN_no_persona_think,no_persona,1sfAJ-SYopUN1Hy20CmVASpKh0CmPGliN,no_persona_think,{},Neutral,"['Construction / Work', 'Activity', 'Work Place, Organisation']",Two men in white shirts and denim shorts are working with long-handled tools in an indoor sports facility with blue walls and a concrete floor.,"The image depicts individuals engaged in routine maintenance work within a structured environment, showing no strong emotional cues.",1,2026-04-28T06:07:10Z,-0.1144,Negative,Neutral,0.70516437292099
pno_perso_img_1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb_no_persona_think,no_persona,1_N1_AAszvKnXnIYt482CmVF4jRP1Agqb,no_persona_think,{},Negative,"['Protest', 'Armed Forces']","A nighttime protest scene with people gathered around a military vehicle, holding a flag.","The image depicts a protest with military presence, indicating tension and unrest.",1,2026-04-28T06:09:21Z,-0.5106,Negative,Negative,0.5798001885414124
pno_perso_img_16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by_no_persona_think,no_persona,16G9fyPvX0wNHmwpIz9Vmx4TZPzi6H1by,no_persona_think,{},Negative,"['Abandoned', 'Absence of people', 'Lack of Maintenance', 'Dirt, mess']","An abandoned industrial building interior with broken windows, peeling walls, and debris scattered on the floor.","The image depicts a neglected, deteriorated space with signs of long-term abandonment and disrepair.",0,2026-04-28T06:10:18Z,-0.7783,Negative,Negative,0.86475670337677
pno_perso_img_1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9_no_persona_think,no_persona,1VVqEHY3Eh-NtRWOsfSLxk2RoAPwBYQT9,no_persona_think,{},Negative,"['Police', 'Arrest']",A group of police officers in riot gear surround a person on the ground on a city street.,"The scene depicts police in riot gear restraining an individual, indicating a confrontational and tense situation.",0,2026-04-28T06:11:04Z,-0.8225,Negative,Negative,0.5125744938850403
pno_perso_img_1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR_no_persona_think,no_persona,1kRXoE5m4UpYJMqBNT4niKKPc0R8hj6zR,no_persona_think,{},SlightlyNegative,"['Debris/Destruction', 'Lack of Maintenance (Negative)']","A highway with scattered debris, including a tire, and a concrete barrier with greenery in the background.","The presence of debris and litter suggests neglect, but the scene lacks immediate danger or extreme disorder.",0,2026-04-28T06:11:34Z,-0.8907,Negative,Negative,0.6734350919723511
pno_perso_img_1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T_no_persona_think,no_persona,1C7EFJIu3VvSW5yNsdzCo02TfvOZ6NK9T,no_persona_think,{},SlightlyNegative,['Backed up traffic'],A busy bridge with heavy traffic congestion on the Golden Gate Bridge.,"The image depicts a significant traffic jam on a major bridge, indicating congestion and potential frustration.",0,2026-04-28T06:11:52Z,-0.3182,Negative,Negative,0.7657116651535034
pno_perso_img_1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj_no_persona_think,no_persona,1s7eVvxbs_jcfRFj3ZfJR7PPJC7cBGSdj,no_persona_think,{},SlightlyPositive,"['Safe environment', 'Work', 'Construction / Work']","A person operating a tool that emits bright sparks in a workshop, with a sign reading '013 DAYS ACCIDENT FREE'.","The safety sign indicating '013 DAYS ACCIDENT FREE' suggests a positive workplace culture, contributing to a slightly positive sentiment despite the active work.",0,2026-04-28T06:13:06Z,0.8248,Positive,Positive,0.8734004497528076
pno_perso_img_1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-_no_persona_think,no_persona,1HViKSthdMW2OR8-KpSmEsWqC5upS1Wb-,no_persona_think,{},Negative,"['Abandoned', 'Disorganization', 'Absence of people']","An abandoned room with broken windows, overgrown vegetation, and debris scattered across the floor.","The scene depicts a dilapidated interior with signs of long-term neglect and nature reclaiming the space, indicating a negative sentiment.",0,2026-04-28T06:14:26Z,-0.7717,Negative,Negative,0.8608973622322083
pno_perso_img_102tapSsNubXllWzP7asAW-qwMJApiWt6_no_persona_think,no_persona,102tapSsNubXllWzP7asAW-qwMJApiWt6,no_persona_think,{},Negative,"['Abandoned', 'Isolation, abandonment']","A multi-story building with broken windows, graffiti on the entrance, and overgrown vegetation surrounding it.","The building's broken windows, graffiti, and overgrown plants indicate neglect and abandonment.",0,2026-04-28T06:15:15Z,-0.8591,Negative,Negative,0.8874990344047546
pno_perso_img_1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW_no_persona_think,no_persona,1hCanLX8A-eYvjKFWTM3UHT6UGA8WG0YW,no_persona_think,{},Neutral,"['Activity', 'Everyday environment']",A busy urban street with pedestrians walking past shops and market stalls on a clear day.,The image depicts normal daily activity in a public space without obvious negative or highly positive elements.,1,2026-04-28T06:20:51Z,0.784,Positive,Neutral,0.8323233127593994
pno_perso_img_1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP_no_persona_think,no_persona,1d_N60_USocfCq3b1PUo6ggQ0uXm7fxyP,no_persona_think,{},Neutral,"['Black and white image', 'Urban environment', 'People in the image appear neutral']","A black and white photograph of a busy city street with pedestrians, vehicles, and buildings.",The scene depicts a typical urban environment without obvious signs of distress or positivity.,0,2026-04-28T06:21:28Z,-0.0258,Neutral,Neutral,0.7037482261657715
pno_perso_img_160nowuoebdBnrXT3OgLQmAXD-qAJdkhn_no_persona_think,no_persona,160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,no_persona_think,{},Negative,"['Abandoned', 'Lack of Maintenance (Negative)', 'Dirt, mess']","An interior view of a dilapidated building with broken windows, graffiti, and scattered debris.","The scene depicts a neglected structure with visible decay and disarray, indicating abandonment and poor upkeep.",1,2026-04-28T06:22:54Z,-0.9118,Negative,Negative,0.8801224231719971
pno_perso_img_1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda_no_persona_think,no_persona,1RMftDANDs5S8TJ3e7aHCrPpuCAd9xtda,no_persona_think,{},Negative,"['Abandoned', 'Absence of people', 'Lack of Maintenance']","An abandoned industrial building with peeling paint, graffiti, and debris scattered across the floor.","The image depicts a neglected, deteriorated interior with signs of long-term abandonment and disrepair.",0,2026-04-28T06:23:21Z,-0.7783,Negative,Negative,0.8637694120407104
pno_perso_img_1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E_no_persona_think,no_persona,1nCKChETlRSdOH97l6iNJrclGJUlHdZ-E,no_persona_think,{},Negative,"['Violence', 'Danger']","A city skyline with a large plume of smoke rising from one of the World Trade Center towers, featuring a bridge and other buildings in the background.","The image depicts smoke rising from a major building, indicating a violent and dangerous event.",0,2026-04-28T06:23:59Z,-0.7906,Negative,Negative,0.8554093837738037
pno_perso_img_16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8_no_persona_think,no_persona,16nwQtJeucg4qnhhT7vOZlCThfWr9ldn8,no_persona_think,{},Negative,"['Accident', 'Activity']",Firefighters in high-visibility uniforms work on a damaged car with onlookers present.,"The image depicts emergency responders at a car accident scene, indicating a negative situation.",0,2026-04-28T06:24:57Z,-0.8555,Negative,Negative,0.7554773092269897
